Partner	PublicationType	ItemPII	DOI	ItemSubType	ItemWeight	ItemStage	JNL Acronym	ItemVersion	ISSN	CID	HubPII	VolumeStart	VolumeEnd	IssueStart	IssueEnd	Supplement	CoverDateStart	CoverDateEnd	ISBN	ItemOnline	ItemVorOnline	GreenOA EmbargoDate	EmbargoPeriod	ItemLastLoadEW	ItemLastLoadXOCS	OpenAccessStatus	OpenAccessEffDate	OpenAccessWinType	OpenAccessLicense	OpenAccessSponsorName	OpenAccessSponsorType	CopyrightLine	LicenseLine	FirstPage	LastPage	ItemNumber	PageCount	FigureCount	TableCount	MathMLCount	MMCCount	Status	Remarks	
Florida	JL	S1441-3523(09)00050-3	10.1016/j.smr.2009.04.005	fla	FULL-TEXT	S300	SMR	S300.1	1441-3523	277345	S1441-3523(09)X0006-9	13		1			201002			2009-06-03		2011-09-01	24	2010-10-31T15:33:05	2015-05-15T06:14:04.886485-04:00							Copyright © 2009 Sport Management Association of Australia and New Zealand. Published by Elsevier Ltd All rights reserved.		25	38		14	1	4	0	0			
Florida	JL	S0736-4679(09)00329-1	10.1016/j.jemermed.2009.05.001	fla	FULL-TEXT	S300	JEM	S300.1	0736-4679	271282	S0736-4679(11)X0018-5	42		6			201206			2009-06-04		2010-09-02	12	2012-06-13T04:37:06	2015-05-15T02:05:05.859364-04:00							Copyright © 2012 Elsevier Inc. All rights reserved.		e137	e140		4	1	1	0	0			
Florida	JL	S0014-4886(09)00230-1	10.1016/j.expneurol.2009.05.038	rev	FULL-TEXT	S300	YEXNR	S300.3	0014-4886	272536	S0014-4886(10)X0004-8	223		1			201005			2009-06-08		2010-09-06	12	2014-10-09T06:23:42	2015-05-14T00:22:29.088494-04:00							Copyright © 2009 Elsevier Inc. All rights reserved.		102	111		10	3	0	0	0			
Florida	JL	S0277-5387(09)00367-2	10.1016/j.poly.2009.06.003	fla	FULL-TEXT	S300	POLY	S300.1	0277-5387	271375	S0277-5387(09)X0019-7	29		1			20100113			2009-06-08		2011-09-06	24	2010-11-01T05:22:48	2015-05-14T06:24:24.352579-04:00							Copyright © 2009 Elsevier Ltd. All rights reserved.		54	65		12	14	8	29	0			
Florida	JL	S0095-8956(09)00057-4	10.1016/j.jctb.2009.05.006	fla	HEAD-AND-TAIL	S300	YJCTB	S300.1	0095-8956	272566	S0095-8956(10)X0002-8	100		2			201003			2009-06-11		2011-09-09	24	2010-10-31T07:51:33	2015-05-15T01:18:42.240152-04:00	Full	2014-03-01T00:01:40Z	OpenArchive	http://www.elsevier.com/open-access/userlicense/1.0/		ElsevierBranded	Copyright © 2009 Elsevier Inc. All rights reserved.		161	170		10	0	0	0	0			
Florida	JL	S0141-6359(09)00081-6	10.1016/j.precisioneng.2009.06.001	fla	FULL-TEXT	S300	PRE	S300.1	0141-6359	271963	S0141-6359(10)X0002-2	34		2			201004			2009-06-11		2011-09-09	24	2010-10-31T22:52:43	2015-05-14T04:11:00.105838-04:00							Copyright © 2009 Elsevier Inc. All rights reserved.		218	230		13	34	0	43	0			
Florida	JL	S0378-8733(09)00022-7	10.1016/j.socnet.2009.05.001	fla	FULL-TEXT	S300	SON	S300.1	0378-8733	271850	S0378-8733(09)X0005-5	32		1			201001			2009-06-11		2012-09-08	36	2010-10-31T16:32:06	2015-05-14T08:13:49.67509-04:00							Copyright © 2009 Elsevier B.V. All rights reserved.		91	104		14	3	7	4	0			
Florida	JL	S0148-2963(09)00150-7	10.1016/j.jbusres.2009.05.008	fla	FULL-TEXT	S300	JBR	S300.1	0148-2963	271680	S0148-2963(10)X0007-8	63		7			201007			2009-06-21		2012-09-18	36	2010-10-31T09:28:05	2015-05-14T04:21:19.41653-04:00							Copyright © 2009 Elsevier Inc. All rights reserved.		729	734		6	0	3	0	0			
Florida	JL	S0261-5606(09)00063-1	10.1016/j.jimonfin.2009.06.007	fla	FULL-TEXT	S300	JIMF	S300.1	0261-5606	271648	S0261-5606(10)X0002-X	29		2			201003			2009-06-24		2012-09-21	36	2010-10-31T14:42:06	2015-05-14T06:00:40.345622-04:00							Published by Elsevier Ltd.		275	299		25	1	7	7	0			
Florida	JL	S0955-2219(09)00261-1	10.1016/j.jeurceramsoc.2009.05.026	fla	FULL-TEXT	S300	JECS	S300.1	0955-2219	271630	S0955-2219(09)X0015-4	30		2			201001			2009-06-24		2011-09-22	24	2010-10-31T18:37:09	2015-05-15T03:39:41.064036-04:00							Copyright © 2009 Elsevier Ltd. All rights reserved.		307	313		7	10	1	2	0			
Florida	JL	S0043-1648(09)00447-5	10.1016/j.wear.2009.06.030	fla	FULL-TEXT	S300	WEA	S300.1	0043-1648	271461	S0043-1648(09)X0013-X	268		1	2		20100104			2009-06-26		2011-09-24	24	2010-11-01T11:42:41	2015-05-14T03:01:08.918263-04:00							Copyright © 2009 Elsevier B.V. All rights reserved.		41	49		9	10	0	22	0			
Florida	JL	S1567-1739(09)00333-2	10.1016/j.cap.2009.06.042	fla	FULL-TEXT	S300	CAP	S300.1	1567-1739	272189	S1567-1739(09)X0010-6	10		2			201003			2009-07-01		2011-09-29	24	2010-10-31T07:44:36	2015-05-15T06:41:39.273389-04:00							Copyright © 2009 Elsevier B.V. All rights reserved.		416	418		3	6	0	0	0			
Florida	JL	S0014-4886(09)00263-5	10.1016/j.expneurol.2009.06.018	fla	FULL-TEXT	S300	YEXNR	S300.3	0014-4886	272536	S0014-4886(10)X0004-8	223		1			201005			2009-07-02		2010-09-30	12	2014-10-09T06:23:42	2015-05-14T00:22:29.088494-04:00							Copyright © 2009 Elsevier Inc. All rights reserved.		173	182		10	7	0	0	0			
Florida	JL	S0165-0327(09)00263-8	10.1016/j.jad.2009.06.010	sco	FULL-TEXT	S300	JAD	S300.1	0165-0327	271035	S0165-0327(09)X0014-5	121		1	2		201002			2009-07-03		2010-10-01	12	2010-11-01T19:37:38	2015-05-14T04:32:04.658879-04:00							Copyright © 2009 Published by Elsevier B.V.		175	179		5	1	1	0	0			
Florida	JL	S0277-5387(09)00451-3	10.1016/j.poly.2009.06.075	fla	FULL-TEXT	S300	POLY	S300.1	0277-5387	271375	S0277-5387(09)X0019-7	29		1			20100113			2009-07-03		2011-10-01	24	2010-11-01T05:22:48	2015-05-14T06:24:24.352579-04:00							Published by Elsevier Ltd.		553	563		11	15	3	11	0			
Florida	JL	S1078-1439(09)00135-5	10.1016/j.urolonc.2009.04.009	fla	FULL-TEXT	S300	URO	S300.1	1078-1439	271228	S1078-1439(11)X0004-2	29		4			201107	201108		2009-07-03		2010-10-01	12	2011-07-02T22:05:18	2015-05-15T05:05:00.624274-04:00							Copyright © 2011 Elsevier Inc. All rights reserved.		421	429		9	3	0	0	0			
Florida	JL	S0191-2615(09)00075-7	10.1016/j.trb.2009.06.004	fla	FULL-TEXT	S300	TRB	S300.1	0191-2615	271728	S0191-2615(09)X0009-3	44		1			201001			2009-07-07		2012-10-04	36	2010-10-31T21:02:36	2015-05-14T05:39:52.915433-04:00							Copyright © 2009 Elsevier Ltd. All rights reserved.		15	28		14	10	4	111	0			
Florida	JL	S0028-3908(09)00207-X	10.1016/j.neuropharm.2009.06.043	fla	FULL-TEXT	S300	NP	S300.1	0028-3908	271069	S0028-3908(09)X0013-4	58		1			201001			2009-07-08		2010-10-06	12	2010-10-31T07:06:41	2015-05-14T02:07:28.307618-04:00							Copyright © 2009 Elsevier Ltd. All rights reserved.		17	28		12	7	0	0	0			
Florida	JL	S1161-0301(09)00051-3	10.1016/j.eja.2009.06.001	fla	FULL-TEXT	S300	EURAGR	S300.1	1161-0301	271285	S1161-0301(09)X0008-0	32		1			201001			2009-07-14		2011-10-12	24	2010-11-01T12:28:42	2015-05-15T05:21:05.800301-04:00							Copyright © 2009 Elsevier B.V. All rights reserved.		3	9		7	3	1	0	0			
Florida	JL	S1570-8705(09)00077-8	10.1016/j.adhoc.2009.07.002	fla	FULL-TEXT	S300	ADHOC	S300.1	1570-8705	272922	S1570-8705(09)X0007-7	8		2			201003			2009-07-17		2011-10-15	24	2010-11-01T14:12:28	2015-05-15T06:50:05.968081-04:00							Copyright © 2009 Elsevier B.V. All rights reserved.		193	213		21	35	3	210	0			
Florida	JL	S1353-8020(09)00167-9	10.1016/j.parkreldis.2009.06.008	fla	FULL-TEXT	S300	PRD	S300.2	1353-8020	271171	S1353-8020(09)X0011-8	16		1			201001			2009-07-19		2010-10-17	12	2011-07-22T19:33:47	2015-05-15T05:38:09.545957-04:00							Published by Elsevier Ltd.		16	20		5	2	3	0	0			
Florida	JL	S1387-1811(09)00349-7	10.1016/j.micromeso.2009.07.011	fla	FULL-TEXT	S300	MICMAT	S300.1	1387-1811	271888	S1387-1811(09)X0014-4	127		3			201002			2009-07-19		2011-10-17	24	2010-11-01T00:08:33	2015-05-15T06:06:49.752458-04:00							Copyright © 2009 Elsevier Inc. All rights reserved.		176	181		6	9	1	3	0			
Florida	JL	S0015-0282(09)01093-0	10.1016/j.fertnstert.2009.05.017	fla	FULL-TEXT	S300	FNS	S300.1	0015-0282	271326	S0015-0282(10)X0011-5	94		3			201008			2009-07-23		2010-10-21	12	2010-10-31T08:46:31	2015-05-14T00:26:46.298449-04:00							Copyright © 2010 American Society for Reproductive Medicine. Published by Elsevier Inc. All rights reserved.		905	912		8	2	2	0	0			
Florida	JL	S0360-3016(09)00512-4	10.1016/j.ijrobp.2009.03.042	fla	FULL-TEXT	S300	ROB	S300.2	0360-3016	271185	S0360-3016(10)X0005-0	76		5			201004			2009-07-23		2010-10-21	12	2011-06-06T21:24:51	2015-05-14T07:19:09.469998-04:00							Copyright © 2010 Elsevier Inc. All rights reserved.		1463	1471		9	3	5	0	0			
Florida	JL	S0968-0160(09)00114-8	10.1016/j.knee.2009.06.009	fla	FULL-TEXT	S300	THEKNE	S300.2	0968-0160	271181	S0968-0160(09)X0007-4	17		1			201001			2009-07-23		2010-10-21	12	2011-07-23T02:27:26	2015-05-15T04:14:19.569878-04:00							Copyright © 2009 Elsevier B.V. All rights reserved.		33	37		5	4	3	0	1			
Florida	JL	S0261-5177(09)00123-X	10.1016/j.tourman.2009.06.015	fla	FULL-TEXT	S300	JTMA	S300.1	0261-5177	271716	S0261-5177(09)X0010-5	31		5			201010			2009-07-24		2012-10-21	36	2010-10-31T14:42:06	2015-05-14T06:00:40.345622-04:00							Copyright © 2009 Elsevier Ltd. All rights reserved.		611	620		10	3	4	0	0			
Florida	JL	S0965-9978(09)00144-6	10.1016/j.advengsoft.2009.06.006	fla	FULL-TEXT	S300	ADES	S300.1	0965-9978	271418	S0965-9978(09)X0011-6	41		2			201002			2009-07-24		2011-10-22	24	2010-10-31T20:42:20	2015-05-15T04:08:20.030513-04:00							Copyright © 2009 Elsevier Ltd. All rights reserved.		359	367		9	12	3	14	0			
Florida	JL	S0048-3575(09)00095-9	10.1016/j.pestbp.2009.07.007	fla	FULL-TEXT	S300	YPEST	S300.1	0048-3575	272377	S0048-3575(10)X0005-0	97		2			201006			2009-07-25		2010-10-23	12	2010-11-01T18:37:19	2015-05-14T03:05:56.147659-04:00							Copyright © 2009 Elsevier Inc. All rights reserved.		161	166		6	6	1	0	0			
Florida	JL	S1755-0017(09)00058-X	10.1016/j.rmedc.2009.05.009	sco	FULL-TEXT	S300	RMEDC	S300.1	1755-0017	276919	S1755-0017(10)X0003-3	3		2			2010			2009-07-28		2011-10-26	24	2010-11-01T06:32:58	2015-05-15T07:10:27.393436-04:00	Full	2013-07-29T13:46:24Z	OpenArchive	http://www.elsevier.com/open-access/userlicense/1.0/		ElsevierBranded	Copyright © 2009 Elsevier Ltd. All rights reserved.		73	75		3	3	1	0	0			
Florida	JL	S0165-2427(09)00241-4	10.1016/j.vetimm.2009.07.009	fla	FULL-TEXT	S300	VETIMM	S300.1	0165-2427	271206	S0165-2427(09)X0014-0	133		2	4		20100215			2009-07-30		2010-10-28	12	2010-11-01T21:24:19	2015-05-14T04:39:41.886156-04:00							Copyright © 2009 Elsevier B.V. Published by Elsevier B.V. All rights reserved.		117	124		8	5	0	0	0			
Florida	JL	S0149-7189(09)00072-X	10.1016/j.evalprogplan.2009.07.007	fla	FULL-TEXT	S300	EPP	S300.1	0149-7189	271855	S0149-7189(10)X0002-7	33		2			201005			2009-08-03		2012-10-31	36	2010-10-31T09:59:47	2015-05-14T04:21:19.494148-04:00							Copyright © 2009 Elsevier Ltd. All rights reserved.		172	177		6	0	0	0	0			
Florida	JL	S0149-7189(09)00077-9	10.1016/j.evalprogplan.2009.07.012	fla	FULL-TEXT	S300	EPP	S300.1	0149-7189	271855	S0149-7189(10)X0002-7	33		2			201005			2009-08-03		2012-10-31	36	2010-10-31T09:59:47	2015-05-14T04:21:19.494148-04:00							Copyright © 2009 Elsevier Ltd. All rights reserved.		194	196		3	0	0	0	0			
Florida	JL	S0041-0101(09)00399-7	10.1016/j.toxicon.2009.07.030	fla	FULL-TEXT	S300	TOXCON	S300.1	0041-0101	271169	S0041-0101(09)X0017-6	55		2	3		201002	201003		2009-08-06		2010-11-04	12	2010-10-31T17:56:52	2015-05-14T02:53:03.655588-04:00							Copyright © 2009 Elsevier Ltd. All rights reserved.		250	255		6	5	0	0	0			
Florida	JL	S0029-8018(09)00179-6	10.1016/j.oceaneng.2009.07.016	fla	FULL-TEXT	S300	OE	S300.3	0029-8018	271462	S0029-8018(09)X0012-0	37		1			201001			2009-08-07		2011-11-05	24	2010-10-31T08:07:00	2015-05-14T02:12:25.114259-04:00							Copyright © 2009 Elsevier Ltd. Published by Elsevier Ltd. All rights reserved.		104	113		10	13	5	35	0			
Florida	JL	S0022-4073(09)00259-3	10.1016/j.jqsrt.2009.08.001	sco	FULL-TEXT	S300	JQSRT	S300.3	0022-4073	271566	S0022-4073(09)X0013-0	111		1			201001			2009-08-11		2011-11-09	24	2010-11-01T02:02:20	2015-05-15T01:03:04.098176-04:00							Copyright © 2009 Elsevier Ltd. All rights reserved.		253	258		6	2	0	78	0			
Florida	JL	S0361-9230(09)00236-6	10.1016/j.brainresbull.2009.08.001	fla	FULL-TEXT	S300	BRB	S300.1	0361-9230	271056	S0361-9230(09)X0015-8	81		2	3		20100215			2009-08-11		2010-11-09	12	2010-10-31T18:32:32	2015-05-14T07:30:00.474219-04:00							Copyright © 2009 Elsevier Inc. All rights reserved.		320	326		7	8	0	0	0			
Florida	JL	S0927-7757(09)00487-7	10.1016/j.colsurfa.2009.08.002	fla	FULL-TEXT	S300	COLSUA	S300.1	0927-7757	271384	S0927-7757(09)X0022-1	354		1	3		20100205			2009-08-11		2011-11-09	24	2010-11-01T01:02:56	2015-05-15T03:22:47.405867-04:00							Copyright © 2009 Elsevier B.V. All rights reserved.		279	283		5	6	0	0	1			
Florida	JL	S1570-9639(09)00193-9	10.1016/j.bbapap.2009.07.025	rev	FULL-TEXT	S300	BBAPAP	S300.1	1570-9639	272652	S1570-9639(09)X0013-0	1804		2			201002			2009-08-11		2010-11-09	12	2012-09-15T11:17:18	2015-05-15T06:52:16.422482-04:00							Copyright © 2009 Elsevier B.V. All rights reserved.		326	331		6	6	0	0	0			
Florida	JL	S1570-9639(09)00197-6	10.1016/j.bbapap.2009.08.003	rev	FULL-TEXT	S300	BBAPAP	S300.1	1570-9639	272652	S1570-9639(09)X0013-0	1804		2			201002			2009-08-11		2010-11-09	12	2012-09-15T11:17:18	2015-05-15T06:52:16.422482-04:00							Copyright © 2009 Elsevier B.V. All rights reserved.		422	426		5	2	2	2	0			
Florida	JL	S0165-2427(09)00257-8	10.1016/j.vetimm.2009.08.005	sco	FULL-TEXT	S300	VETIMM	S300.1	0165-2427	271206	S0165-2427(09)X0014-0	133		2	4		20100215			2009-08-13		2010-11-11	12	2010-11-01T21:24:19	2015-05-14T04:39:41.886156-04:00							Copyright © 2009 Elsevier B.V. All rights reserved.		287	289		3	1	0	0	0			
Florida	JL	S0167-9317(09)00532-2	10.1016/j.mee.2009.08.006	fla	FULL-TEXT	S300	MEE	S300.1	0167-9317	271975	S0167-9317(10)X0002-8	87		4			201004			2009-08-14		2011-11-12	24	2010-10-31T19:45:12	2015-05-14T05:08:13.398076-04:00							Copyright © 2009 Elsevier B.V. All rights reserved.		548	552		5	9	0	5	0			
Florida	JL	S0954-6111(09)00247-9	10.1016/j.rmed.2009.07.015	rev	FULL-TEXT	S300	YRMED	S300.2	0954-6111	272432	S0954-6111(09)X0012-0	104		1			201001			2009-08-15		2010-11-13	12	2011-07-22T20:08:31	2015-05-15T03:38:37.977885-04:00	Full	2013-07-18T13:44:51Z	OpenArchive	http://www.elsevier.com/open-access/userlicense/1.0/		ElsevierBranded	Copyright © 2009 Elsevier Ltd. All rights reserved.		9	21		13	3	3	0	0			
Florida	JL	S1471-0153(09)00083-X	10.1016/j.eatbeh.2009.08.002	fla	FULL-TEXT	S300	EATBEH	S300.1	1471-0153	272176	S1471-0153(09)X0006-1	11		1			201001			2009-08-15		2011-11-13	24	2010-11-01T18:28:02	2015-05-15T06:20:58.828321-04:00							Copyright © 2009 Elsevier Ltd. All rights reserved.		11	17		7	1	3	0	0			
Florida	JL	S0277-5387(09)00562-2	10.1016/j.poly.2009.08.009	fla	FULL-TEXT	S300	POLY	S300.1	0277-5387	271375	S0277-5387(09)X0019-7	29		1			20100113			2009-08-18		2011-11-16	24	2010-11-01T05:22:48	2015-05-14T06:24:24.352579-04:00							Copyright © 2009 Elsevier Ltd. All rights reserved.		627	633		7	9	3	23	0			
Florida	JL	S1568-1637(09)00051-8	10.1016/j.arr.2009.08.002	ssu	FULL-TEXT	S300	ARR	S300.2	1568-1637	272285	S1568-1637(09)X0005-X	9		1			201001			2009-08-19		2010-11-17	12	2011-07-22T19:33:47	2015-05-15T06:44:46.298115-04:00							Copyright © 2009 Elsevier Ireland Ltd. All rights reserved.		1	11		11	9	0	3	0			
Florida	JL	S0924-9338(09)00077-7	10.1016/j.eurpsy.2009.05.001	fla	FULL-TEXT	S300	EURPSY	S300.1	0924-9338	272152	S0924-9338(09)X0009-X	25		1			201001			2009-08-20		2010-11-18	12	2010-11-01T08:34:04	2015-05-15T03:04:21.132457-04:00							Copyright © 2009 Elsevier Masson SAS. All rights reserved.		19	25		7	0	1	1	0			
Florida	JL	S0014-4886(09)00335-5	10.1016/j.expneurol.2009.08.013	sco	FULL-TEXT	S300	YEXNR	S300.3	0014-4886	272536	S0014-4886(10)X0004-8	223		1			201005			2009-08-22		2010-11-20	12	2014-10-09T06:23:42	2015-05-14T00:22:29.088494-04:00							Copyright © 2009 Elsevier Inc. All rights reserved.		203	206		4	1	0	0	0			
Florida	JL	S0166-8641(09)00392-7	10.1016/j.topol.2009.08.007	fla	HEAD-AND-TAIL	S300	TOPOL	S300.1	0166-8641	271523	S0166-8641(10)X0002-5	157		4			20100301			2009-08-26		2011-11-24	24	2010-11-01T17:42:57	2015-05-14T04:51:30.77655-04:00	Full	2014-03-01T00:20:16Z	OpenArchive	http://www.elsevier.com/open-access/userlicense/1.0/		ElsevierBranded	Copyright © 2009 Elsevier B.V. All rights reserved.		774	778		5	0	0	10	0			
Florida	JL	S0301-9322(09)00141-4	10.1016/j.ijmultiphaseflow.2009.08.004	sco	FULL-TEXT	S300	IJMF	S300.1	0301-9322	271484	S0301-9322(09)X0012-1	36		1			201001			2009-08-26		2011-11-24	24	2010-10-31T07:27:07	2015-05-15T01:36:43.233996-04:00							Published by Elsevier Ltd.		88	91		4	6	0	2	0			
Florida	JL	S0739-7240(09)00078-2	10.1016/j.domaniend.2009.07.005	fla	FULL-TEXT	S300	DAE	S300.1	0739-7240	271178	S0739-7240(09)X0008-1	38		1			201001			2009-08-26		2010-11-24	12	2010-11-01T01:52:13	2015-05-15T02:07:04.859298-04:00							Copyright © 2009 Elsevier B.V. Published by Elsevier Inc. All rights reserved.		38	45		8	4	1	0	0			
Florida	JL	S0889-1591(09)00396-1	10.1016/j.bbi.2009.08.008	sco	FULL-TEXT	S300	YBRBI	S300.2	0889-1591	272555	S0889-1591(09)X0011-5	24		2			201002			2009-08-27		2010-11-25	12	2011-07-22T19:58:47	2015-05-15T02:25:09.766303-04:00							Copyright © 2009 Elsevier Inc. All rights reserved.		210	214		5	0	1	0	0			
