ItemPII	GreenOA EmbargoDate	ItemOnline	ItemVorOnline	EmbargoPeriod
S0001-8791(14)00035-9	2017-05-16	2014-02-16		36
S0001-8791(14)00110-9	2017-11-19	2014-08-22		36
S0001-8791(14)00140-7	2018-02-09	2014-11-12		36
S0001-8791(15)00081-0	2018-08-02	2015-07-29	2015-08-03	36
S0001-8791(15)00088-3	2018-08-30	2015-08-20	2015-08-31	36
S0001-8791(16)30023-9	2019-03-01	2016-02-23	2016-03-01	36
S0002-8177(15)00393-1	2016-07-26	2015-07-27	2015-07-27	12
S0002-8177(15)00631-5	2016-11-22	2015-11-23	2015-11-23	12
S0002-8177(15)00642-X	2016-12-28	2015-11-06	2015-12-29	12
S0002-8177(15)01103-4	2017-03-23	2016-01-05	2016-03-23	12
S0002-8177(16)30201-X	2017-07-04	2016-04-05		12
S0002-8177(16)30262-8	2017-04-25	2016-04-25	2016-04-25	12
S0002-8223(10)01339-8	2013-01-24	2010-10-27		24
S0002-8703(10)00080-3	2011-06-30	2010-04-01		12
S0002-8703(10)00167-5	2011-07-29	2010-04-30		12
S0002-8703(10)00250-4	2011-09-05	2010-06-07		12
S0002-8703(10)00571-5	2012-01-07	2010-10-09		12
S0002-8703(10)01164-6	2012-06-05	2011-03-08		12
S0002-8703(11)00418-2	2013-02-26	2011-11-29		12
S0002-8703(11)00516-3	2012-12-04	2011-09-06		12
S0002-8703(11)00702-2	2013-02-26	2011-11-29		12
S0002-8703(12)00512-1	2013-12-31	2012-10-02		12
S0002-8703(12)00592-3	2014-01-14	2012-10-16		12
S0002-8703(12)00680-1	2014-02-24	2012-11-26		12
S0002-8703(13)00237-8	2014-07-31	2013-05-02		12
S0002-8703(13)00298-6	2014-10-10	2013-07-12		12
S0002-8703(13)00536-X	2014-12-18	2013-09-19		12
S0002-8703(14)00089-1	2015-05-29	2014-02-28		12
S0002-8703(14)00091-X	2015-05-30	2014-03-01		12
S0002-8703(14)00354-8	2015-09-07	2014-06-09		12
S0002-8703(14)00412-8	2015-10-09	2014-07-11		12
S0002-8703(14)00487-6	2015-10-28	2014-07-30		12
S0002-8703(14)00487-6	2015-10-28	2014-07-30		12
S0002-8703(14)00490-6	2015-10-28	2014-07-30		12
S0002-8703(14)00747-9	2016-04-05	2015-01-06		12
S0002-8703(15)00539-6	2016-11-09	2015-08-28	2015-11-10	12
S0002-9149(10)00468-6	2011-08-04	2010-05-06		12
S0002-9149(10)00840-4	2011-11-02	2010-08-04		12
S0002-9149(10)00960-4	2011-10-21	2010-07-23		12
S0002-9149(10)01856-4	2012-04-03	2011-01-04		12
S0002-9149(10)02419-7	2012-04-18	2011-01-19		12
S0002-9149(10)02551-8	2012-04-19	2011-01-20		12
S0002-9149(11)00333-X	2012-06-14	2011-03-17		12
S0002-9149(11)02269-7	2012-12-01	2011-09-03		12
S0002-9149(11)02286-7	2012-12-01	2011-09-03		12
S0002-9149(11)03513-2	2013-04-13	2012-01-14		12
S0002-9149(12)01724-9	2013-10-30	2012-08-01		12
S0002-9149(12)01727-4	2013-10-28	2012-07-30		12
S0002-9149(12)02299-0	2014-02-15	2012-11-17		12
S0002-9149(12)02325-9	2014-03-04	2012-12-04		12
S0002-9149(12)02651-3	2014-04-23	2013-01-23		12
S0002-9149(13)00802-3	2014-07-17	2013-04-18		12
S0002-9149(13)01877-8	2015-01-19	2013-10-21		12
S0002-9149(14)01720-2	2015-11-25	2014-08-27		12
S0002-9149(15)00031-4	2016-04-07	2015-01-08		12
S0002-9149(15)00637-2	2016-04-30	2015-01-31		12
S0002-9149(15)00897-8	2016-06-09	2015-03-12		12
S0002-9149(15)01102-9	2016-06-15	2015-04-16	2015-06-16	12
S0002-9149(15)01933-5	2016-11-11	2015-09-16	2015-11-12	12
S0002-9149(15)02254-7	2017-01-13	2015-11-19	2016-01-14	12
S0002-9149(16)30138-2	2017-03-26	2016-01-28	2016-03-26	12
S0002-9297(10)00266-1	2011-03-23	2010-06-24		6
S0002-9297(10)00535-5	2011-08-24	2010-11-25		6
S0002-9297(10)00594-X	2011-09-28	2010-12-30		6
S0002-9297(11)00401-0	2012-07-04	2011-10-06		6
S0002-9297(12)00031-6	2012-11-07	2012-02-09		6
S0002-9297(12)00037-7	2012-11-28	2012-03-01		6
S0002-9297(12)00254-6	2013-02-13	2012-05-17		6
S0002-9297(12)00474-0	2013-07-10	2012-10-11		6
S0002-9297(13)00613-7	2014-11-19	2014-02-20		6
S0002-9297(14)00070-6	2014-12-17	2014-03-20		6
S0002-9297(15)00503-0	2016-08-04	2016-01-21	2016-02-04	6
S0002-9343(10)00343-8	2011-10-25	2010-07-27		12
S0002-9343(10)00346-3	2011-10-25	2010-07-27		12
S0002-9343(10)00756-4	2012-01-12	2010-10-14		12
S0002-9343(10)01043-0	2012-06-19	2011-03-22		12
S0002-9343(11)00264-6	2012-08-15	2011-05-18		12
S0002-9343(11)00554-7	2013-05-14	2012-02-14		12
S0002-9343(11)00623-1	2012-12-17	2011-09-19		12
S0002-9343(11)00624-3	2012-12-17	2011-09-19		12
S0002-9343(11)00765-0	2013-04-19	2012-01-20		12
S0002-9343(12)00335-X	2013-09-06	2012-06-08		12
S0002-9343(14)00348-9	2015-07-23	2014-04-24		12
S0002-9343(14)00349-0	2015-07-22	2014-04-23		12
S0002-9343(14)00466-5	2015-09-08	2014-06-10		12
S0002-9343(14)00900-0	2016-01-13	2014-10-15		12
S0002-9343(14)00907-3	2016-01-13	2014-10-15		12
S0002-9343(14)01215-7	2016-05-20	2014-12-29	2015-05-21	12
S0002-9343(15)00347-2	2016-07-22	2015-04-23	2015-07-23	12
S0002-9343(15)00507-0	2016-09-17	2015-06-10	2015-09-18	12
S0002-9343(15)01048-7	2017-04-25	2015-11-14	2016-04-25	12
S0002-9343(15)30049-8	2017-03-11	2016-01-08	2016-03-11	12
S0002-9378(09)02263-7	2011-05-21	2010-02-20		12
S0002-9378(10)00308-X	2011-07-27	2010-04-28		12
S0002-9378(10)00312-1	2011-07-27	2010-04-28		12
S0002-9378(10)00315-7	2011-08-08	2010-05-10		12
S0002-9378(11)00343-7	2012-06-13	2011-03-16		12
S0002-9378(12)00326-2	2013-06-27	2012-03-29		12
S0002-9378(12)01973-4	2014-01-20	2012-10-22		12
S0002-9378(13)00945-9	2014-12-06	2013-09-07		12
S0002-9378(13)01058-2	2015-01-08	2013-10-10		12
S0002-9378(14)00117-3	2015-05-06	2014-02-05		12
S0002-9378(14)00447-5	2015-08-07	2014-05-09		12
S0002-9378(14)00786-8	2015-10-23	2014-07-25		12
S0002-9378(14)00786-8	2015-10-23	2014-07-25		12
S0002-9378(14)00786-8	2015-10-23	2014-07-25		12
S0002-9378(14)00944-2	2015-12-15	2014-09-16		12
S0002-9378(14)00944-2	2015-12-15	2014-09-16		12
S0002-9378(14)02146-2	2016-01-28	2014-10-30		12
S0002-9378(14)02146-2	2016-01-28	2014-10-30		12
S0002-9378(15)00874-1	2016-11-30	2015-08-14	2015-12-01	12
S0002-9378(15)00874-1	2016-11-30	2015-08-14	2015-12-01	12
S0002-9378(16)00337-9	2017-05-18	2016-02-18		12
S0002-9394(13)00312-7	2014-09-11	2013-06-13		12
S0002-9394(13)00621-1	2015-02-05	2013-11-07		12
S0002-9440(11)00340-3	2012-08-02	2011-05-05		12
S0002-9440(12)00439-7	2013-10-11	2012-07-13		12
S0002-9440(12)00523-8	2013-11-08	2012-08-10		12
S0002-9440(13)00030-8	2014-05-09	2013-02-08		12
S0002-9440(13)00344-1	2014-09-05	2013-06-07		12
S0002-9440(13)00530-0	2015-01-20	2013-10-22		12
S0002-9440(13)00664-0	2015-01-26	2013-10-28		12
S0002-9440(13)00675-5	2015-03-12	2013-12-12		12
S0002-9440(13)00838-9	2015-04-11	2014-01-11		12
S0002-9440(14)00095-9	2015-06-09	2014-03-11		12
S0002-9440(14)00230-2	2015-08-11	2014-05-13		12
S0002-9440(14)00432-5	2015-12-05	2014-09-06		12
S0002-9440(15)00087-5	2016-06-09	2015-03-12		12
S0002-9440(15)00140-6	2016-05-17	2015-04-02	2015-05-18	12
S0002-9440(15)00187-X	2016-05-17	2015-05-08	2015-05-18	12
S0002-9440(16)00086-9	2017-04-20	2016-03-03	2016-04-20	12
S0002-9610(10)00611-2	2012-05-03	2011-02-03		12
S0002-9610(11)00350-3	2012-11-22	2011-08-25		12
S0002-9610(11)00543-5	2013-01-16	2011-10-19		12
S0002-9610(11)00545-9	2013-02-26	2011-11-29		12
S0002-9610(12)00334-0	2013-12-23	2012-09-24		12
S0002-9610(13)00012-3	2014-05-01	2013-01-31		12
S0002-9610(13)00050-0	2014-05-12	2013-02-11		12
S0002-9610(13)00514-X	2015-01-08	2013-10-10		12
S0002-9610(13)00533-3	2015-01-08	2013-10-10		12
S0002-9610(15)00209-3	2016-08-12	2015-05-01	2015-08-13	12
S0002-9610(15)00209-3	2016-08-12	2015-05-01	2015-08-13	12
S0003-2670(10)00610-0	2012-08-17	2010-05-20		24
S0003-2670(14)01284-7	2017-01-24	2014-10-27		24
S0003-2670(15)00406-7	2017-05-19	2015-03-24	2015-05-20	24
S0003-2697(10)00139-9	2012-06-07	2010-03-10		24
S0003-2697(10)00256-3	2012-07-20	2010-04-22		24
S0003-2697(10)00718-9	2013-02-10	2010-11-13		24
S0003-2697(11)00428-3	2013-09-27	2011-06-30		24
S0003-2697(15)00022-6	2017-04-27	2015-01-28		24
S0003-3472(09)00447-3	2012-02-03	2009-11-05		24
S0003-3472(09)00538-7	2012-03-13	2009-12-14		24
S0003-3472(09)00585-5	2012-04-19	2010-01-20		24
S0003-3472(10)00058-8	2012-06-16	2010-03-19		24
S0003-3472(10)00104-1	2012-07-19	2010-04-21		24
S0003-3472(10)00304-0	2012-11-28	2010-08-31		24
S0003-3472(11)00058-3	2013-06-07	2011-03-10		24
S0003-3472(11)00179-5	2013-09-09	2011-06-12		24
S0003-3472(11)00514-8	2014-03-22	2011-12-23		24
S0003-3472(12)00331-4	2014-11-11	2012-08-13		24
S0003-3472(12)00481-2	2015-02-17	2012-11-19		24
S0003-3472(13)00566-6	2016-04-20	2014-01-21		24
S0003-3472(14)00059-1	2016-05-28	2014-02-28		24
S0003-3472(14)00224-3	2016-09-11	2014-06-14		24
S0003-3472(14)00308-X	2016-12-13	2014-09-15		24
S0003-3472(14)00459-X	2017-04-06	2015-01-07		24
S0003-4916(13)00133-4	2015-09-11	2013-06-13		24
S0003-4916(15)00319-X	2017-09-18	2015-08-24	2015-09-19	24
S0003-4975(09)01970-5	2011-03-17	2009-12-17		12
S0003-4975(09)02225-5	2011-03-17	2009-12-17		12
S0003-4975(09)02312-1	2011-03-17	2009-12-17		12
S0003-4975(10)01395-0	2011-12-21	2010-09-22		12
S0003-4975(10)01795-9	2012-02-19	2010-11-21		12
S0003-4975(10)02224-1	2012-04-19	2011-01-20		12
S0003-4975(11)00710-7	2012-11-21	2011-08-24		12
S0003-4975(11)00777-6	2012-11-21	2011-08-24		12
S0003-4975(11)00886-1	2012-12-25	2011-09-27		12
S0003-4975(11)01015-0	2012-10-24	2011-07-27		12
S0003-4975(11)01666-3	2012-11-20	2011-08-23		12
S0003-4975(11)01667-5	2012-11-20	2011-08-23		12
S0003-4975(11)02427-1	2013-03-21	2011-12-22		12
S0003-4975(12)00104-X	2013-05-28	2012-02-28		12
S0003-4975(12)00657-1	2013-08-22	2012-05-24		12
S0003-4975(12)01158-7	2013-11-18	2012-08-20		12
S0003-4975(12)01225-8	2013-12-20	2012-09-21		12
S0003-4975(12)01313-6	2013-10-31	2012-08-02		12
S0003-4975(12)01629-3	2013-12-05	2012-09-06		12
S0003-4975(12)01872-3	2014-01-16	2012-10-18		12
S0003-4975(13)01409-4	2015-04-28	2014-01-28		12
S0003-4975(13)02096-1	2015-06-28	2014-03-30		12
S0003-4975(13)02247-9	2015-03-30	2013-12-30		12
S0003-4975(13)02378-3	2015-10-29	2014-07-31		12
S0003-4975(13)02841-5	2015-06-18	2014-03-20		12
S0003-4975(14)00361-0	2015-06-30	2014-04-01		12
S0003-4975(15)00063-6	2016-06-03	2015-03-06		12
S0003-4975(15)00142-3	2016-05-31	2015-04-08	2015-06-01	12
S0003-4975(15)00831-0	2016-10-28	2015-07-29	2015-10-29	12
S0003-4975(15)01200-X	2016-08-31	2015-08-03	2015-09-01	12
S0003-4975(15)01416-2	2016-12-12	2015-11-03	2015-12-13	12
S0003-4975(15)01578-7	2017-01-13	2016-01-12	2016-01-14	12
S0003-4975(15)01720-8	2017-01-13	2015-11-30	2016-01-14	12
S0003-4975(15)01731-2	2016-11-30	2015-10-31	2015-12-01	12
S0003-4975(15)01737-3	2017-03-18	2016-03-18	2016-03-18	12
S0003-4975(15)02015-9	2017-02-17	2016-02-18	2016-02-18	12
S0003-4975(16)00050-3	2017-07-12	2016-04-13		12
S0003-682X(14)00214-X	2016-12-04	2014-09-06		24
S0003-6870(09)00166-5	2012-04-19	2010-01-20		24
S0003-6870(10)00180-8	2013-02-27	2010-11-30		24
S0003-6870(16)30014-X	2018-05-10	2016-02-10		24
S0003-9861(10)00121-9	2011-07-02	2010-04-03		12
S0003-9861(10)00289-4	2011-10-12	2010-07-14		12
S0003-9861(10)00306-1	2011-10-31	2010-08-02		12
S0003-9861(10)00500-X	2012-03-08	2010-12-09		12
S0003-9861(11)00086-5	2012-05-30	2011-03-02		12
S0003-9861(11)00322-5	2013-01-01	2011-10-04		12
S0003-9861(12)00108-7	2013-06-21	2012-03-23		12
S0003-9861(12)00378-5	2014-01-25	2012-10-27		12
S0003-9861(13)00107-0	2014-07-17	2013-04-18		12
S0003-9861(13)00270-1	2014-12-09	2013-09-10		12
S0003-9861(13)00345-7	2015-02-03	2013-11-05		12
S0003-9861(13)00392-5	2015-03-27	2013-12-27		12
S0003-9861(15)00024-7	2016-04-15	2015-01-16		12
S0003-9969(10)00308-0	2012-02-03	2010-11-05		12
S0003-9969(15)30043-1	2016-09-28	2015-09-18	2015-09-29	12
S0003-9969(16)30003-6	2017-01-13	2016-01-07	2016-01-14	12
S0003-9993(09)00931-9	2011-06-14	2010-03-16		12
S0003-9993(09)00996-4	2011-07-07	2010-04-08		12
S0003-9993(10)00003-1	2011-07-07	2010-04-08		12
S0003-9993(10)00231-5	2011-09-27	2010-06-29		12
S0003-9993(10)00237-6	2011-09-27	2010-06-29		12
S0003-9993(11)00128-6	2012-10-17	2011-07-20		12
S0003-9993(11)00129-8	2012-10-17	2011-07-20		12
S0003-9993(11)00325-X	2012-11-15	2011-08-18		12
S0003-9993(11)00800-8	2013-03-23	2011-12-24		12
S0003-9993(11)00956-7	2013-05-07	2012-02-07		12
S0003-9993(11)00972-5	2013-05-25	2012-02-25		12
S0003-9993(12)00158-X	2013-07-23	2012-04-24		12
S0003-9993(12)00178-5	2013-06-20	2012-03-22		12
S0003-9993(12)00282-1	2013-11-20	2012-08-22		12
S0003-9993(12)00398-X	2013-11-20	2012-08-22		12
S0003-9993(12)00400-5	2013-10-22	2012-07-24		12
S0003-9993(12)01085-4	2014-02-01	2012-11-03		12
S0003-9993(12)01196-3	2014-03-05	2012-12-05		12
S0003-9993(13)00199-8	2014-06-04	2013-03-06		12
S0003-9993(13)00239-6	2014-06-20	2013-03-22		12
S0003-9993(13)00275-X	2014-06-28	2013-03-30		12
S0003-9993(13)00587-X	2014-11-02	2013-08-04		12
S0003-9993(13)00590-X	2014-11-04	2013-08-06		12
S0003-9993(13)00889-7	2014-12-05	2013-09-06		12
S0003-9993(13)01164-7	2015-02-25	2013-11-27		12
S0003-9993(14)00215-9	2015-06-26	2014-03-28		12
S0003-9993(14)00931-9	2015-11-05	2014-08-07		12
S0003-9993(14)01346-X	2016-07-25	2014-12-26	2015-07-26	12
S0003-9993(15)00020-9	2016-05-23	2015-02-23		12
S0003-9993(15)00295-6	2016-08-27	2015-04-14	2015-08-28	12
S0003-9993(15)00297-X	2016-07-25	2015-04-14	2015-07-26	12
S0003-9993(15)00322-6	2016-07-25	2015-04-23	2015-07-26	12
S0003-9993(15)00467-0	2016-10-19	2015-06-20	2015-10-20	12
S0003-9993(15)00541-9	2016-10-19	2015-07-09	2015-10-20	12
S0003-9993(15)01326-X	2017-02-23	2015-10-23	2016-02-24	12
S0003-9993(15)01399-4	2017-02-23	2015-11-06	2016-02-24	12
S0005-1098(09)00478-6	2012-02-08	2009-11-10		24
S0005-1098(10)00298-0	2012-10-31	2010-08-03		24
S0005-1098(10)00421-8	2013-02-15	2010-11-18		24
S0005-1098(11)00100-2	2013-05-29	2011-03-01		24
S0005-1098(11)00348-7	2013-12-06	2011-09-08		24
S0005-1098(11)00553-X	2014-03-23	2011-12-24		24
S0005-1098(12)00175-6	2014-09-10	2012-06-12		24
S0005-1098(12)00482-7	2015-01-21	2012-10-23		24
S0005-1098(12)00552-3	2015-03-08	2012-12-08		24
S0005-1098(13)00077-0	2015-06-10	2013-03-12		24
S0005-1098(13)00363-4	2015-11-05	2013-08-07		24
S0005-1098(14)00047-8	2016-05-25	2014-02-25		24
S0005-1098(14)00051-X	2016-05-22	2014-02-22		24
S0005-1098(14)00484-1	2017-02-14	2014-11-17		24
S0005-1098(15)00137-5	2017-07-13	2015-04-15		24
S0005-1098(15)00439-2	2017-12-06	2015-12-07	2015-12-07	24
S0005-1098(15)00514-2	2017-12-07	2015-12-08	2015-12-08	24
S0005-1098(15)00548-8	2018-01-15	2016-01-16	2016-01-16	24
S0005-1098(15)00559-2	2018-01-21	2016-01-22	2016-01-22	24
S0005-1098(16)30126-1	2018-04-23	2016-04-23	2016-04-23	24
S0005-2728(12)00169-7	2013-08-29	2012-05-31		12
S0005-2736(09)00300-9	2010-12-05	2009-09-06		12
S0005-2736(10)00459-1	2012-03-28	2010-12-29		12
S0005-2736(13)00194-6	2014-09-15	2013-06-17		12
S0005-2736(14)00184-9	2015-08-18	2014-05-20		12
S0005-2736(14)00184-9	2015-08-18	2014-05-20		12
S0005-2736(14)00321-6	2015-12-21	2014-09-22		12
S0005-7894(10)00037-7	2012-06-08	2010-03-11		24
S0005-7967(13)00160-5	2015-12-25	2013-09-26		24
S0005-7967(13)00161-7	2016-01-08	2013-10-10		24
S0006-291X(09)02347-X	2011-02-25	2009-11-27		12
S0006-291X(10)00424-9	2011-06-01	2010-03-03		12
S0006-291X(10)01633-5	2011-12-06	2010-09-07		12
S0006-291X(11)00089-1	2012-04-20	2011-01-21		12
S0006-291X(11)00636-X	2012-07-17	2011-04-19		12
S0006-291X(11)01005-9	2012-09-10	2011-06-13		12
S0006-291X(11)01371-4	2012-11-02	2011-08-05		12
S0006-291X(11)01464-1	2012-11-21	2011-08-24		12
S0006-291X(11)01680-9	2012-12-18	2011-09-20		12
S0006-291X(12)00377-4	2013-05-29	2012-02-29		12
S0006-291X(12)00586-4	2013-06-30	2012-04-01		12
S0006-291X(12)00945-X	2013-08-19	2012-05-21		12
S0006-291X(12)01222-3	2013-10-01	2012-07-03		12
S0006-291X(12)01824-4	2013-12-19	2012-09-20		12
S0006-291X(13)00481-6	2014-06-24	2013-03-26		12
S0006-291X(13)00788-2	2014-08-09	2013-05-11		12
S0006-291X(14)00678-0	2015-07-17	2014-04-18		12
S0006-291X(14)01114-0	2015-09-17	2014-06-19		12
S0006-291X(14)01119-X	2015-09-15	2014-06-17		12
S0006-291X(14)01194-2	2015-09-29	2014-07-01		12
S0006-291X(15)00375-7	2016-05-31	2015-03-03		12
S0006-291X(15)00614-2	2016-06-04	2015-04-02	2015-06-05	12
S0006-291X(15)00624-5	2016-07-01	2015-04-03		12
S0006-291X(15)30615-X	2016-10-07	2015-09-21	2015-10-08	12
S0006-291X(15)30865-2	2016-11-28	2015-11-09	2015-11-29	12
S0006-291X(16)30036-5	2017-01-21	2016-01-08	2016-01-22	12
S0006-291X(16)30192-9	2017-02-22	2016-02-03	2016-02-23	12
S0006-291X(16)30588-5	2017-07-18	2016-04-19		12
S0006-2952(11)00291-7	2012-08-04	2011-05-07		12
S0006-2952(11)00949-X	2013-03-29	2011-12-30		12
S0006-2952(12)00326-7	2013-08-08	2012-05-10		12
S0006-2952(13)00047-6	2014-04-23	2013-01-23		12
S0006-2952(14)00068-9	2015-04-30	2014-01-30		12
S0006-3207(09)00487-X	2012-03-15	2009-12-16		24
S0006-3207(10)00044-3	2012-05-29	2010-03-01		24
S0006-3207(10)00075-3	2012-06-21	2010-03-24		24
S0006-3207(10)00167-9	2012-08-07	2010-05-10		24
S0006-3207(10)00322-8	2012-11-05	2010-08-08		24
S0006-3207(10)00334-4	2012-12-13	2010-09-15		24
S0006-3207(10)00416-7	2013-01-17	2010-10-20		24
S0006-3207(10)00420-9	2013-01-15	2010-10-18		24
S0006-3207(10)00427-1	2013-01-13	2010-10-16		24
S0006-3207(10)00436-2	2013-01-27	2010-10-30		24
S0006-3207(10)00453-2	2013-02-07	2010-11-10		24
S0006-3207(10)00469-6	2013-03-06	2010-12-07		24
S0006-3207(10)00485-4	2013-03-12	2010-12-13		24
S0006-3207(11)00031-0	2013-05-09	2011-02-09		24
S0006-3207(11)00033-4	2013-05-21	2011-02-21		24
S0006-3207(11)00048-6	2013-06-01	2011-03-04		24
S0006-3207(11)00211-4	2013-09-13	2011-06-16		24
S0006-3207(11)00402-2	2014-03-02	2011-12-03		24
S0006-3207(12)00151-6	2014-07-30	2012-05-01		24
S0006-3207(12)00335-7	2015-03-20	2012-12-20		24
S0006-3207(12)00362-X	2015-02-27	2012-11-29		24
S0006-3207(12)00426-0	2015-02-27	2012-11-29		24
S0006-3207(13)00083-9	2015-07-09	2013-04-10		24
S0006-3207(13)00086-4	2015-07-19	2013-04-20		24
S0006-3207(13)00088-8	2015-07-27	2013-04-28		24
S0006-3207(13)00095-5	2015-08-12	2013-05-14		24
S0006-3207(13)00266-8	2016-01-09	2013-10-11		24
S0006-3207(13)00405-9	2016-03-07	2013-12-08		24
S0006-3207(14)00222-5	2016-09-16	2014-06-19		24
S0006-3207(14)00240-7	2016-10-09	2014-07-12		24
S0006-3207(14)00418-2	2017-03-04	2014-12-05		24
S0006-3207(14)00446-7	2017-02-26	2014-11-29		24
S0006-3207(15)00037-3	2017-06-04	2015-02-10	2015-06-05	24
S0006-3207(15)00146-9	2017-07-19	2015-04-21		24
S0006-3207(15)00148-2	2017-07-21	2015-04-23		24
S0006-3207(15)30074-4	2017-08-31	2015-09-01	2015-09-01	24
S0006-3207(15)30141-5	2017-11-15	2015-11-16	2015-11-16	24
S0006-3207(15)30193-2	2017-12-28	2015-12-29	2015-12-29	24
S0006-3207(16)30018-0	2018-02-18	2016-02-04	2016-02-19	24
S0006-3223(09)01025-7	2011-01-26	2009-10-28		12
S0006-3223(09)01426-7	2011-05-09	2010-02-08		12
S0006-3223(10)00707-9	2011-11-19	2010-08-21		12
S0006-3223(10)00760-2	2011-12-01	2010-09-02		12
S0006-3223(11)00216-2	2012-08-05	2011-05-08		12
S0006-3223(12)00051-0	2013-06-01	2012-03-03		12
S0006-3223(12)01097-9	2014-04-23	2013-01-23		12
S0006-3223(13)00401-0	2014-08-26	2013-05-28		12
S0006-3223(14)00911-1	2016-02-25	2014-11-27		12
S0006-3495(13)05749-4	2015-04-07	2014-01-07		12
S0006-3495(14)00334-8	2015-08-04	2014-05-06		12
S0006-3495(14)03068-9	2016-04-19	2015-01-20		12
S0006-3495(15)00348-3	2016-08-02	2015-05-05		12
S0006-3495(15)00710-9	2016-08-17	2015-08-18	2015-08-18	12
S0006-8993(09)02228-8	2011-01-25	2009-10-27		12
S0006-8993(09)02447-0	2011-02-22	2009-11-24		12
S0006-8993(09)02455-X	2011-02-22	2009-11-24		12
S0006-8993(09)02502-5	2011-02-25	2009-11-27		12
S0006-8993(09)02608-0	2011-03-11	2009-12-11		12
S0006-8993(09)02787-5	2011-04-06	2010-01-06		12
S0006-8993(10)00050-8	2011-04-14	2010-01-14		12
S0006-8993(10)00112-5	2011-05-03	2010-02-02		12
S0006-8993(10)01356-9	2011-09-13	2010-06-15		12
S0006-8993(10)01489-7	2011-10-01	2010-07-03		12
S0006-8993(10)02699-5	2012-03-15	2010-12-16		12
S0006-8993(11)00989-9	2012-08-27	2011-05-30		12
S0006-8993(11)01347-3	2012-10-21	2011-07-24		12
S0006-8993(11)01650-7	2012-12-03	2011-09-05		12
S0006-8993(11)02037-3	2013-02-07	2011-11-10		12
S0006-8993(12)00717-2	2013-07-20	2012-04-21		12
S0006-8993(12)00757-3	2013-07-26	2012-04-27		12
S0006-8993(12)00813-X	2013-08-05	2012-05-07		12
S0006-8993(12)01839-2	2014-03-03	2012-12-03		12
S0006-8993(13)00388-0	2014-06-13	2013-03-15		12
S0006-8993(13)00836-6	2014-09-12	2013-06-14		12
S0006-8993(14)00072-9	2015-04-29	2014-01-29		12
S0006-8993(14)00417-X	2015-07-03	2014-04-04		12
S0006-8993(14)00588-5	2015-08-02	2014-05-04		12
S0006-8993(14)01121-4	2015-11-21	2014-08-23		12
S0006-8993(14)01233-5	2015-12-15	2014-09-16		12
S0006-8993(15)00393-5	2016-08-20	2015-05-18	2015-08-21	12
S0006-8993(15)00541-7	2016-08-06	2015-07-20	2015-08-07	12
S0006-8993(16)30059-2	2017-02-26	2016-02-13	2016-02-27	12
S0007-6813(12)00039-0	2015-06-26	2012-03-28		36
S0007-8506(10)00116-2	2012-07-12	2010-04-14		24
S0007-8506(10)00193-9	2012-09-22	2010-06-25		24
S0007-8506(11)00120-X	2013-07-25	2011-04-27		24
S0007-8506(12)00068-6	2014-07-12	2012-04-13		24
