unit	doi	authors	pub_year	title	journal	volume	issue	pages	original_line
Trop_REC	10.1080/03235408.2017.1411156	"""Abdalla, O. A., Bibi, S. and Zhang, S."""	2017	Integration of chitosan and plant growth-promoting rhizobacteria to control Papaya ringspot virus and Tomato chlorotic spot virus	Archives of Phytopathology and Plant Protection			1-11	"""Abdalla, O. A., Bibi, S. and Zhang, S.""|2017|Integration of chitosan and plant growth-promoting rhizobacteria to control Papaya ringspot virus and Tomato chlorotic spot virus|Archives of Phytopathology and Plant Protection|||1-11|Journal Article||10.1080/03235408.2017.1411156|Trop_REC|"
AniSci	10.3168/jds.2017-13288	"""Abdollahi-Arpanahi, R., Morota, G. and Penagaricano, F."""	2017	Predicting bull fertility using genomic data and biological information	Journal of Dairy Science	100	12	9656-9666	"""Abdollahi-Arpanahi, R., Morota, G. and Penagaricano, F.""|2017|Predicting bull fertility using genomic data and biological information|Journal of Dairy Science|100|12|9656-9666|Journal Article||10.3168/jds.2017-13288|AniSci|"
SFRC		"""Abolofia, J., Asche, F. and Wilen, J. E."""	2017	The Cost of Lice: Quantifying the Impacts of Parasitic Sea Lice on Farmed Salmon	Marine Resource Economics	32	3	000-000	"""Abolofia, J., Asche, F. and Wilen, J. E.""|2017|The Cost of Lice: Quantifying the Impacts of Parasitic Sea Lice on Farmed Salmon|Marine Resource Economics|32|3|000-000|Journal Article|||SFRC|"
FRED	10.1016/j.foodpol.2017.04.005	"""Abraben, L. A., Grogan, K. A. and Gao, Z. F."""	2017	Organic price premium or penalty? A comparative market analysis of organic wines from Tuscany	Food Policy	69		154-165	"""Abraben, L. A., Grogan, K. A. and Gao, Z. F.""|2017|Organic price premium or penalty? A comparative market analysis of organic wines from Tuscany|Food Policy|69||154-165|Journal Article||10.1016/j.foodpol.2017.04.005|FRED|"
IndianRiv_REC	10.1016/j.jenvman.2017.07.074	"""Abreu, C. H., Firme, L. P., Maldonado, C. a. B., Neto, S. P. D., Alves, M. C., Muraoka, T., Boaretto, A. E., Gava, J. L., He, Z. L., Nogueira, T. a. R. and Capra, G. F."""	2017	Fertilization using sewage sludge in unfertile tropical soils increased wood production in Eucalyptus plantations	Journal of Environmental Management	203		51-58	"""Abreu, C. H., Firme, L. P., Maldonado, C. a. B., Neto, S. P. D., Alves, M. C., Muraoka, T., Boaretto, A. E., Gava, J. L., He, Z. L., Nogueira, T. a. R. and Capra, G. F.""|2017|Fertilization using sewage sludge in unfertile tropical soils increased wood production in Eucalyptus plantations|Journal of Environmental Management|203||51-58|Journal Article||10.1016/j.jenvman.2017.07.074|IndianRiv_REC|"
ABE	10.1080/09670874.2017.1371806	"""Abudulai, M., Naab, J., Seini, S. S., Dzomeku, I., Boote, K., Brandenburg, R. and Jordan, D."""	2017	Peanut (Arachis hypogaea) response to weed and disease management in northern Ghana	International Journal of Pest Management			1-6	"""Abudulai, M., Naab, J., Seini, S. S., Dzomeku, I., Boote, K., Brandenburg, R. and Jordan, D.""|2017|Peanut (Arachis hypogaea) response to weed and disease management in northern Ghana|International Journal of Pest Management|||1-6|Journal Article||10.1080/09670874.2017.1371806|ABE|"
Agron	10.1080/09670874.2017.1371806	"""Abudulai, M. N., Jesse; Seini, Shaibu Seidu; Dzomeku, Israel; Boote, Kenneth; Brandenburg, Rick; Jordan, David"""	2017	Peanut (Arachis hypogaea) response to weed and disease management in northern Ghana	International Journal of Pest Management			1-6	"""Abudulai, M. N., Jesse; Seini, Shaibu Seidu; Dzomeku, Israel; Boote, Kenneth; Brandenburg, Rick; Jordan, David""|2017|Peanut (Arachis hypogaea) response to weed and disease management in northern Ghana|International Journal of Pest Management|||1-6|Journal Article|Published online Sept 2017. Check if in PRINT in 2017.|10.1080/09670874.2017.1371806|Agron|"
WildEco	10.1007/s10980-017-0522-y	"""Acevedo, M. A. and Fletcher, R. J."""	2017	The proximate causes of asymmetric movement across heterogeneous landscapes	Landscape Ecology	32	6	1285-1297	"""Acevedo, M. A. and Fletcher, R. J.""|2017|The proximate causes of asymmetric movement across heterogeneous landscapes|Landscape Ecology|32|6|1285-1297|Journal Article||10.1007/s10980-017-0522-y|WildEco|"
SFRC	10.1002/2017WR020516	"""Acharya, S., Kaplan, D., Jawitz, J. and Cohen, M."""	2017	Doing ecohydrology backward: Inferring wetland flow and hydroperiod from landscape patterns	Water Resources Research	53	7	5742-5755	"""Acharya, S., Kaplan, D., Jawitz, J. and Cohen, M.""|2017|Doing ecohydrology backward: Inferring wetland flow and hydroperiod from landscape patterns|Water Resources Research|53|7|5742-5755|Journal Article||10.1002/2017WR020516|SFRC|"
SoilWater	10.1002/2017wr020516	"""Acharya, S., Kaplan, D. A., Jawitz, J. W. and Cohen, M. J."""	2017	Doing ecohydrology backward: Inferring wetland flow and hydroperiod from landscape patterns	Water Resources Research	53	7	5742-5755	"""Acharya, S., Kaplan, D. A., Jawitz, J. W. and Cohen, M. J.""|2017|Doing ecohydrology backward: Inferring wetland flow and hydroperiod from landscape patterns|Water Resources Research|53|7|5742-5755|Journal Article||10.1002/2017wr020516|SoilWater|"
MicroCell		"""Achberger, A. M., Michaud, A. B., Vick-Majors, T. J., Christner, B. C., Skidmore, M. L., Priscu, J. C. and Tranter, M."""	2017	Microbiology of Subglacial Environments	Psychrophiles: From Biodiversity to Biotechnology			83-110	"""Achberger, A. M., Michaud, A. B., Vick-Majors, T. J., Christner, B. C., Skidmore, M. L., Priscu, J. C. and Tranter, M.""|2017|Microbiology of Subglacial Environments|Psychrophiles: From Biodiversity to Biotechnology|||83-110|Book Section|Ineligible: Not an article||MicroCell|"
Citrus_REC	10.1007/s10493-017-0181-3	"""Achor, D. S. C., Carl C.; Rogers, Michael E."""	2017	Cellular injury to 1- to 3+-year-old stems of Camellia sinensis by Tuckerella japonica	Experimental & Applied Acarology	73	3-4	339-351	"""Achor, D. S. C., Carl C.; Rogers, Michael E.""|2017|Cellular injury to 1- to 3+-year-old stems of Camellia sinensis by Tuckerella japonica|Experimental & Applied Acarology|73|3-4|339-351|Journal Article||10.1007/s10493-017-0181-3|Citrus_REC|"
FoodSci		"""Acosta, L."""	2017	Anorexia Nervosa and Premenopausal Osteoporosis: A Case Report	Topics in Clinical Nutrition	32	3	252-265	"""Acosta, L.""|2017|Anorexia Nervosa and Premenopausal Osteoporosis: A Case Report|Topics in Clinical Nutrition|32|3|252-265|Journal Article|||FoodSci|"
SoilWater	10.1007/s00374-016-1113-9	"""Acuna, J. J., Duran, P., Lagos, L. M., Ogram, A., Mora, M. D. and Jorquera, M. A."""	2016	Bacterial alkaline phosphomonoesterase in the rhizospheres of plants grown in Chilean extreme environments	Biology and Fertility of Soils	52	6	763-773	"""Acuna, J. J., Duran, P., Lagos, L. M., Ogram, A., Mora, M. D. and Jorquera, M. A.""|2016|Bacterial alkaline phosphomonoesterase in the rhizospheres of plants grown in Chilean extreme environments|Biology and Fertility of Soils|52|6|763-773|Journal Article||10.1007/s00374-016-1113-9|SoilWater|"
SFRC		"""Adams, A. E. and Shriver, T. E."""	2017	Tactics and Targets: Explaining Shifts in Grassroots Environmental Resistance	Social Currents	4	3	265281	"""Adams, A. E. and Shriver, T. E.""|2017|Tactics and Targets: Explaining Shifts in Grassroots Environmental Resistance|Social Currents|4|3|265281|Journal Article|Ineligible: Not peer-reviewed in Ulrichs or other source||SFRC|"
Agron	10.1111/jac.12216	"""Adams, C. B. E., J. E."""	2017	Yield enhancement by short-term imposition of severe water deficit in the vegetative growth stage of grain sorghum	Journal of Agronomy and Crop Science	203	4	309-314	"""Adams, C. B. E., J. E.""|2017|Yield enhancement by short-term imposition of severe water deficit in the vegetative growth stage of grain sorghum|Journal of Agronomy and Crop Science|203|4|309-314|Journal Article||10.1111/jac.12216|Agron|"
EntNem	10.1038/ncomms15451	"""Adema, C. M., Hillier, L. W., Jones, C. S., Loker, E. S., Knight, M., Minx, P., Oliveira, G., Raghavan, N., Shedlock, A., Do Amaral, L. R., Arican-Goktas, H. D., Assis, J. G., Baba, E. H., Baron, O. L., Bayne, C. J., Bickham-Wright, U., Biggar, K. K., Blouin, M., Bonning, B. C., Botka, C., Bridger, J. M., Buckley, K. M., Buddenborg, S. K., Caldeira, R. L., Carleton, J., Carvalho, O. S., Castillo, M. G., Chalmers, I. W., Christensens, M., Clifton, S., Cosseau, C., Coustau, C., Cripps, R. M., Cuesta-Astroz, Y., Cummins, S. F., Di Stephano, L., Dinguirard, N., Duval, D., Emrich, S., Feschotte, C., Feyereisen, R., Fitzgerald, P., Fronick, C., Fulton, L., Galinier, R., Gava, S. G., Geusz, M., Geyer, K. K., Giraldo-Calderon, G. I., Gomes, M. D., Gordy, M. A., Gourbal, B., Grunau, C., Hanington, P. C., Hoffmann, K. F., Hughes, D., Humphries, J., Jackson, D. J., Jannotti-Passos, L. K., Jeremias, W. D., Jobling, S., Kamel, B., Kapusta, A., Kaur, S., Koene, J. M., Kohn, A. B., Lawson, D., Lawton, S. P., Liang, D., Limpanont, Y., Liu, S. J., Lockyer, A. E., Lovato, T. L., Ludolf, F., Magrini, V., Mcmanus, D. P., Medina, M., Misra, M., Mitta, G., Mkoji, G. M., Montague, M. J., Montelongo, C., Moroz, L. L., Munoz-Torres, M. C., Niazi, U., Noble, L. R., Oliveira, F. S., Pais, F. S., Papenfuss, A. T., Peace, R., Pena, J. J., Pila, E. A., Quelais, T., Raney, B. J., Rast, J. P., Rollinson, D., Rosse, I. C., Rotgans, B., Routledge, E. J., Ryan, K. M., Scholte, L. L. S., Storey, K. B., Swain, M., Tennessen, J. A., Tomlinson, C., Trujillo, D. L., Volpi, E. V., Walker, A. J., Wang, T., Wannaporn, I., Warren, W. C., Wu, X. J., Yoshino, T. P., Yusuf, M., Zhang, S. M., Zhao, M. and Wilson, R. K."""	2017	Whole genome analysis of a schistosomiasis-transmitting freshwater snail	Nature Communications	8			"""Adema, C. M., Hillier, L. W., Jones, C. S., Loker, E. S., Knight, M., Minx, P., Oliveira, G., Raghavan, N., Shedlock, A., Do Amaral, L. R., Arican-Goktas, H. D., Assis, J. G., Baba, E. H., Baron, O. L., Bayne, C. J., Bickham-Wright, U., Biggar, K. K., Blouin, M., Bonning, B. C., Botka, C., Bridger, J. M., Buckley, K. M., Buddenborg, S. K., Caldeira, R. L., Carleton, J., Carvalho, O. S., Castillo, M. G., Chalmers, I. W., Christensens, M., Clifton, S., Cosseau, C., Coustau, C., Cripps, R. M., Cuesta-Astroz, Y., Cummins, S. F., Di Stephano, L., Dinguirard, N., Duval, D., Emrich, S., Feschotte, C., Feyereisen, R., Fitzgerald, P., Fronick, C., Fulton, L., Galinier, R., Gava, S. G., Geusz, M., Geyer, K. K., Giraldo-Calderon, G. I., Gomes, M. D., Gordy, M. A., Gourbal, B., Grunau, C., Hanington, P. C., Hoffmann, K. F., Hughes, D., Humphries, J., Jackson, D. J., Jannotti-Passos, L. K., Jeremias, W. D., Jobling, S., Kamel, B., Kapusta, A., Kaur, S., Koene, J. M., Kohn, A. B., Lawson, D., Lawton, S. P., Liang, D., Limpanont, Y., Liu, S. J., Lockyer, A. E., Lovato, T. L., Ludolf, F., Magrini, V., Mcmanus, D. P., Medina, M., Misra, M., Mitta, G., Mkoji, G. M., Montague, M. J., Montelongo, C., Moroz, L. L., Munoz-Torres, M. C., Niazi, U., Noble, L. R., Oliveira, F. S., Pais, F. S., Papenfuss, A. T., Peace, R., Pena, J. J., Pila, E. A., Quelais, T., Raney, B. J., Rast, J. P., Rollinson, D., Rosse, I. C., Rotgans, B., Routledge, E. J., Ryan, K. M., Scholte, L. L. S., Storey, K. B., Swain, M., Tennessen, J. A., Tomlinson, C., Trujillo, D. L., Volpi, E. V., Walker, A. J., Wang, T., Wannaporn, I., Warren, W. C., Wu, X. J., Yoshino, T. P., Yusuf, M., Zhang, S. M., Zhao, M. and Wilson, R. K.""|2017|Whole genome analysis of a schistosomiasis-transmitting freshwater snail|Nature Communications|8|||Journal Article|New Faculty: Bonning EntNem|10.1038/ncomms15451|EntNem|"
ABE		"""Adhikari, P., Omani, N., Ale, S., Delaune, P. B., Thorp, K. R., Barnes, E. M. and Hoogenboom, G."""	2017	Simulated effects of winter wheat cover crop on cotton production systems of the Texas Rolling Plains					"""Adhikari, P., Omani, N., Ale, S., Delaune, P. B., Thorp, K. R., Barnes, E. M. and Hoogenboom, G.""|2017|Simulated effects of winter wheat cover crop on cotton production systems of the Texas Rolling Plains|||||Journal Article|||ABE|"
Gulf_REC		"""Agehara, S. and Leskovar, D. I."""	2017	Growth suppression by exogenous abscisic acid and uniconazole for prolonged marketability of tomato transplants in commercial conditions	HortScience	52		606-611	"""Agehara, S. and Leskovar, D. I.""|2017|Growth suppression by exogenous abscisic acid and uniconazole for prolonged marketability of tomato transplants in commercial conditions|HortScience|52||606-611|Journal Article|||Gulf_REC|"
ABE	10.1016/j.jspr.2017.02.005	"""Agha, M. K. K., Lee, W. S., Wang, C., Mankin, R. W., Blount, A. R., Bucklin, R. A. and Bliznyuk, N."""	2017	Detection and prediction of Sitophilus oryzae infestations in triticale via visible and near-infrared spectral signatures	Journal of Stored Products Research	72		1-10	"""Agha, M. K. K., Lee, W. S., Wang, C., Mankin, R. W., Blount, A. R., Bucklin, R. A. and Bliznyuk, N.""|2017|Detection and prediction of Sitophilus oryzae infestations in triticale via visible and near-infrared spectral signatures|Journal of Stored Products Research|72||1-10|Journal Article||10.1016/j.jspr.2017.02.005|ABE|"
EntNem	10.1371/journal.pntd.0005954	"""Agramonte, N. M., Bloomquist, J. R. and Bernier, U. R."""	2017	Pyrethroid resistance alters the blood-feeding behavior in Puerto Rican Aedes aegypti mosquitoes exposed to treated fabric	PLOS Neglected Tropical Diseases	11	9		"""Agramonte, N. M., Bloomquist, J. R. and Bernier, U. R.""|2017|Pyrethroid resistance alters the blood-feeding behavior in Puerto Rican Aedes aegypti mosquitoes exposed to treated fabric|PLOS Neglected Tropical Diseases|11|9||Journal Article||10.1371/journal.pntd.0005954|EntNem|"
SFRC	10.1093/jme/tjw207	"""Agramonte, N. M., Gezan, S. A. and Bernier, U. R."""	2017	Comparative Evaluation of a Silicone Membrane as an Alternative to Skin for Testing Mosquito Repellents	Journal of Medical Entomology	54	3	631-637	"""Agramonte, N. M., Gezan, S. A. and Bernier, U. R.""|2017|Comparative Evaluation of a Silicone Membrane as an Alternative to Skin for Testing Mosquito Repellents|Journal of Medical Entomology|54|3|631-637|Journal Article||10.1093/jme/tjw207|SFRC|"
ABE	10.1111/jac.12206	"""Ahmad, S., Abbas, G., Fatima, Z., Khan, R., Anjum, M., Ahmed, M., Khan, M., Porter, C. and Hoogenboom, G."""	2017	"""Quantification of the impacts of climate warming and crop management on canola phenology in Punjab, Pakistan"""	Journal of Agronomy and Crop Science	203	5	442-452	"""Ahmad, S., Abbas, G., Fatima, Z., Khan, R., Anjum, M., Ahmed, M., Khan, M., Porter, C. and Hoogenboom, G.""|2017|""Quantification of the impacts of climate warming and crop management on canola phenology in Punjab, Pakistan""|Journal of Agronomy and Crop Science|203|5|442-452|Journal Article||10.1111/jac.12206|ABE|"
AniSci	10.2527/jas2016.1298	"""Ahmed, B. M. S., Younas, U., Asar, T. O., Dikmen, S., Hansen, P. J. and Dahl, G. E."""	2017	Cows exposed to heat stress during fetal life exhibit improved thermal tolerance	Journal of Animal Science	95	8	3497-3503	"""Ahmed, B. M. S., Younas, U., Asar, T. O., Dikmen, S., Hansen, P. J. and Dahl, G. E.""|2017|Cows exposed to heat stress during fetal life exhibit improved thermal tolerance|Journal of Animal Science|95|8|3497-3503|Journal Article||10.2527/jas2016.1298|AniSci|"
Gulf_REC	10.1016/j.jenvman.2017.05.013	"""Ahmed, M. a. A., Abd-Elrahman, A., Escobedo, F. J., Cropper, W. P., Martin, T. A. and Timilsina, N."""	2017	Spatially-explicit modeling of multi-scale drivers of aboveground forest biomass and water yield in watersheds of the Southeastern United States	Journal of Environmental Management	199		158-171	"""Ahmed, M. a. A., Abd-Elrahman, A., Escobedo, F. J., Cropper, W. P., Martin, T. A. and Timilsina, N.""|2017|Spatially-explicit modeling of multi-scale drivers of aboveground forest biomass and water yield in watersheds of the Southeastern United States|Journal of Environmental Management|199||158-171|Journal Article||10.1016/j.jenvman.2017.05.013|Gulf_REC|"
SFRC	10.1016/j.jenvman.2017.05.013	"""Ahmed, M. a. A., Abd-Elrahman, A., Escobedo, F. J., Cropper, W. P., Martin, T. A. and Timilsina, N."""	2017	Spatially-explicit modeling of multi-scale drivers of aboveground forest biomass and water yield in watersheds of the Southeastern United States	Journal of Environmental Management	199		158-171	"""Ahmed, M. a. A., Abd-Elrahman, A., Escobedo, F. J., Cropper, W. P., Martin, T. A. and Timilsina, N.""|2017|Spatially-explicit modeling of multi-scale drivers of aboveground forest biomass and water yield in watersheds of the Southeastern United States|Journal of Environmental Management|199||158-171|Journal Article||10.1016/j.jenvman.2017.05.013|SFRC|"
MicroCell	10.1038/s41598-017-14324-w	"""Ahn, S. J., Gu, T. J., Koh, J. and Rice, K. C."""	2017	Remodeling of the Streptococcus mutans proteome in response to LrgAB and external stresses	Scientific Reports	7			"""Ahn, S. J., Gu, T. J., Koh, J. and Rice, K. C.""|2017|Remodeling of the Streptococcus mutans proteome in response to LrgAB and external stresses|Scientific Reports|7|||Journal Article||10.1038/s41598-017-14324-w|MicroCell|"
MidFL_REC	10.5296/jas.v5i4.11991	"""Akbar, A. G., Ali, G. S., Pearson, B. J., Hamid, F. and Sumreen, S."""	2017	ScreeningCamelia sinensisgermplasm against grey leaf blight of tea.	Journal of Agricultural Studies	5	4	123-135	"""Akbar, A. G., Ali, G. S., Pearson, B. J., Hamid, F. and Sumreen, S.""|2017|ScreeningCamelia sinensisgermplasm against grey leaf blight of tea.|Journal of Agricultural Studies|5|4|123-135|Journal Article||10.5296/jas.v5i4.11991|MidFL_REC|"
EntNem		"""Akyazi, F., Joseph, S., Felek, A. F. and Mekete, T."""	2017	"""MITOCHONDRIAL HAPLOTYPE-BASED IDENTIFICATION OF ROOT-KNOT NEMATODES, MELOIDOGYNE ARENARIA AND MELOIDOGYNE HAPLA, INFECTING KIWIFRUIT IN TURKEY"""	Nematropica	47	1	34-48	"""Akyazi, F., Joseph, S., Felek, A. F. and Mekete, T.""|2017|""MITOCHONDRIAL HAPLOTYPE-BASED IDENTIFICATION OF ROOT-KNOT NEMATODES, MELOIDOGYNE ARENARIA AND MELOIDOGYNE HAPLA, INFECTING KIWIFRUIT IN TURKEY""|Nematropica|47|1|34-48|Journal Article|||EntNem|"
EntNem		"""Akyazi, R., Ueckermann, E. A. and Liburd, O. E."""	2017	New report of Brevipalpus yothersi (Prostigmata: Tenuipalpidae) on blueberry in Florida	Florida Entomologist	100	4	731-739	"""Akyazi, R., Ueckermann, E. A. and Liburd, O. E.""|2017|New report of Brevipalpus yothersi (Prostigmata: Tenuipalpidae) on blueberry in Florida|Florida Entomologist|100|4|731-739|Journal Article|||EntNem|"
