Authors	Year	Title	Journal Name	Vol	Issue	Pages	Reference Type	Research notes	doi 	IFAS Unit
"An, C. F., Ding, Y. Z., Zhang, X. D., Wang, C. G. and Mou, Z. L."	2016	Elongator Plays a Positive Role in Exogenous NAD-Induced Defense Responses in Arabidopsis	Molecular Plant-Microbe Interactions	29	5	396-404	Journal Article		10.1094/mpmi-01-16-0005-r	
"Andersen, P. C., Brodbeck, B. V., Bliss, C. M. and Mcsorley, R."	2016	Influence of crop rotation and years in bahiagrass on plant-parasitic nematode density in an organic vegetable production system.	Nematropica	46	1	60-70	Journal Article	yes		Ent/Nem
"Anderson, C. J., Hostetler, M. E., Sieving, K. E. and Johnson, S. A."	2016	"Predation of artificial nests by introduced rhesus macaques (Macaca mulatta) in Florida, USA."	Biological Invasions	18		2783-2789	Journal Article			
"Apolinario, V. X. D., Dubeux, J. C. B., Lira, M. D., Sampaio, E., De Amorim, S. O., De Miranda E. Silva, N. G. and Muir, J. P."	2016	Arboreal Legume Litter Nutrient Contribution to a Tropical Silvopasture	Agronomy Journal	108	6	2478-2484	Journal Article		10.2134/agronj2016.02.0120	
"Apolinrio, V. X. O., Dubeux, J. C. B., Lira, M. A., Ferreira, R. L. C., Mello, A. C. L., Coelho, D. L., Muir, J. P. and Sampaio, E."	2016	Decomposition of Arboreal Legume Fractions in a Silvopastoral System	Crop Science	56	3	1356-1363	Journal Article		10.2135/cropsci2015.09.0588	
"Araújo, M. C. R., Chagas, E. A., Garcia, M. I. R., Pinto, S. T. S., Chagas, P. C., Vendrame, W. A., Filho, A. B. M. and Souza, O. M."	2016	"Micropropagation of cacari under different nutritive culture media, antioxidants, and levels of agar and pH."	African Journal of Biotechnology	15	33	1771-1780	Journal Article			
"Aristizábal, L. F., Mascarin, G. M., Cherry, R., Chaves-Cordoba, B. and Arthurs, S. P."	2016	A Rapid Sampling Plan for Scirtothrips dorsalis (Thysanoptera: Thripidae) on Container Shrub Rose (Rosa ‘Radrazz’)	Journal of Economic Entomology	109	6	2543-2550	Journal Article		http://dx.doi.org/10.1093/jee/tow231	Everglades REC
"Arp, A. P., Hunter, W. B. and Pelz-Stelinski, K. S."	2016	Annotation of the Asian Citrus Psyllid Genome Reveals a Reduced Innate Immune System	Frontiers in Physiology	7		Article 570	Journal Article		10.3389/fphys.2016.00570	Citrus REC
"Arthurs, S. P., Chen, G. and Chen, J."	2016	Host specificity evaluation of Gynaikothrips uzeli (Thysanoptera: Phlaeothripidae) on ornamental Ficus (Rosales: Moraceae)	Florida Entomologist	99	3	481-486	Journal Article			
"Artiaga, B. L., Yang, G., Hackmann, T. J., Liu, Q. F., Richt, J. A., Salek-Ardakani, S., Castleman, W. L., Lednicky, J. A. and Driver, J. P."	2016	alpha-Galactosylceramide protects swine against influenza infection when administered as a vaccine adjuvant	Scientific Reports	6		23593	Journal Article		10.1038/srep23593	Animal Sci
"Artiaga, B. L., Yang, G., Hutchinson, T. E., Loeb, J. C., Richt, J. A., Lednicky, J. A., Salek-Ardakani, S. and Driver, J. P."	2016	Rapid control of pandemic H1N1 influenza by targeting NKT-cells	Scientific Reports	6		37999	Journal Article		10.1038/srep37999	Animal Sci
"Aryal, S., Crow, W., Mcsorley, R., Giblin-Davis, R., Rowland, D., Poudel, B. and Kenworthy, K."	2015	Effects of Infection by Belonolaimus longicaudatus on Rooting Dynamics among St. Augustinegrass and Bermudagrass Genotypes	Journal of Nematology	47	4	322-331	Journal Article			Ft Lauderdale REC
"Aryal, S. A., Crow, W. T., Mcsorley, R., Giblin-Davis, R. M. and Kenworthy, K. E."	2016	Integrated pest management of nematodes on bermudagrass turf.	"Crop, Forage and Turfgrass Management"	2	1	doi: 10.2134/cftm2015.0144	Journal Article		10.2134/cftm2015.0144	Ent/Nem
"Asche, F., Misund, B. and Oglend, A."	2016	Determinants of the Atlantic Salmon Future Risk Premium	Journal of Commodity Markets	2	1	6-17	Journal Article			
"Asche, F., Misund, B. and Oglend, A."	2016	The spot-forward relationship in the Atlantic salmon market	Aquaculture Economics & Management	20	2	222-234	Journal Article		10.1080/13657305.2016.1156192	
"Asche, F. and Oglend, A."	2016	The Relationship between Input-factor and Output Prices in Commodity Industries: The Case of Norwegian Salmon Aquaculture	Journal of Commodity Markets	1		35-47	Journal Article			
"Asci, S., Seale, J. L., Onel, G. and Vansickle, J. J."	2016	US and Mexican Tomatoes: Perceptions and Implications of the Renegotiated Suspension Agreement	Journal of Agricultural and Resource Economics	41	1	138-160	Journal Article			FRE
"Aspinall, W. P., Cooke, R. M., Havelaar, A. H., Hoffmann, S. and Hald, T."	2016	Evaluation of a Performance-Based Expert Elicitation: WHO Global Attribution of Foodborne Diseases	PLoS One	11	3	e0149817	Journal Article		10.1371/journal.pone.0149817	Animal Sci
"Asseng, S., Ewert, F., Martre, P., Rosenzweig, C., Jones, J., Hatfield, J., Ruane, A., Boote, K., Thorburn, P. and Rötter, R."	2016	Benchmark data set for wheat growth models: field experiments and AgMIP multi-model simulations	Open Data Journal for Agricultural Research	1	1	doi: http://dx.doi.org/10.18174/odjar.v1i1.14746	Journal Article		http://dx.doi.org/10.18174/odjar.v1i1.14746	Agronomy
"Athayde, S., Bernasconi, P., Bartels, W., Seluchinesk, R. and Buschbacher, R."	2016	Socio-ecological Resilience Assessment as a Tool for Management of the Amazonian Frontier: Experiences and Reflections	Sustentabilidade em Debate	7	2		Journal Article			
"Auffray, C., Balling, R., Barroso, I., Bencze, L., Benson, M., Bergeron, J., Bernal-Delgado, E., Blomberg, N., Bock, C., Conesa, A., Del Signore, S., Delogne, C., Devilee, P., Di Meglio, A., Eijkemans, M., Flicek, P., Graf, N., Grimm, V., Guchelaar, H. J., Guo, Y. K., Gut, I. G., Hanbury, A., Hanif, S., Hilgers, R. D., Honrado, A., Hose, D. R., Houwing-Duistermaat, J., Hubbard, T., Janacek, S. H., Karanikas, H., Kievits, T., Kohler, M., Kremer, A., Lanfear, J., Lengauer, T., Maes, E., Meert, T., Muller, W., Nickel, D., Oledzki, P., Pedersen, B., Petkovic, M., Pliakos, K., Rattray, M., Mas, J. R. I., Schneider, R., Sengstag, T., Serra-Picamal, X., Spek, W., Vaas, L. a. I., Van Batenburg, O., Vandelaer, M., Varnai, P., Villoslada, P., Vizcaino, J. A., Wubbe, J. P. M. and Zanetti, G."	2016	Making sense of big data in health research: towards an EU action plan 	Genome Medicine	8		Article 118	Journal Article		10.1186/s13073-016-0376-y	
"Aydemir, T., Troche, C., Kim, J., Kim, M., Teran, O., Leeuwenburgh, C. and Cousins, R."	2016	Aging amplifies multiple phenotypic defects in mice with zinc transporter Zip14 (Slc39a14) deletion	Exp Gerontol	85		88-94	Journal Article		10.1016/j.exger.2016.09.013	Food Sci & Nutr
"Aydemir, T., Troche, C., Kim, M. and Cousins, R."	2016	Hepatic ZIP14-mediated Zinc Transport Contributes to Endosomal Insulin Receptor Trafficking and Glucose Metabolism	J Biol Chem	291	46	23939-23951	Journal Article		10.1074/jbc.M116.748632	Food Sci & Nutr
"Azpiroz, A. and Blake, J."	2016	Associations of grassland birds with vegetation structure in the Northern Campos of Uruguay.	The Condor - Ornithological Applications	118		12-23	Journal Article		DOI: 10.1650/CONDOR-15-49.1	
"Babu, B., Jeyaprakash, A., Jones, D., Schubert, T. S., Baker, C., Washburn, B. K., Miller, S. H., Poduch, K., Knox, G. W., Ochoa-Corona, F. M. and Paret, M. L."	2016	"Development of a rapid, sensitive TaqMan real-time RT-PCR assay for the detection of Rose rosette virus using multiple gene targets"	Journal of Virological Methods	235		41-50	Journal Article		10.1016/j.jviromet.2016.05.010	
"Babu, B., Washburn, B. K., Poduch, K., Knox, G. W. and Paret, M. L."	2016	Identification and characterization of two novel genomic RNA segments RNA5 and RNA6 in rose rosette virus infecting roses	Acta Virologica	60	2	156-165	Journal Article	yes	10.4149/av_2016_02_156	
"Badillo-Vargas, I. E., Baker, C. A., Turechek, W. W., Frantz, G., Mellinger, H. C., Funderburk, J. E. and Adkins, S."	2016	"Genomic and Biological Characterization of Tomato necrotic streak virus, a Novel Subgroup 2 Ilarvirus Infecting Tomato in Florida"	Plant Disease	100	6	1046-1053	Journal Article		10.1094/pdis-12-15-1437-re	
"Badylak, S., Phlips, E., Dix, N., Hart, J., Srifa, A., Haunert, D., He, Z., Lockwood, J., Stofella, P., Sun, D. and Yang, Y."	2016	Phytoplankton dynamics in a subtropical tidal creek: influences of rainfall and water residence time on composition and biomass	Marine and Freshwater Research	67	4	466-482	Journal Article		10.1071/MF14325	
"Bai, F., Daliberti, M., Bagadion, A., Xu, M., Li, Y., Baier, J., Tseung, C., Evans, M. and Settles, A."	2016	Parent-of-Origin-Effect rough endosperm Mutants in Maize	Genetics	205	3	221-231	Journal Article		10.1534/genetics.116.191775	
"Bai, J., Sun, H. M., Yin, X. J., Yin, X. Q., Wang, S. S., Creamer, A. E., Xu, L. J., Qin, Z., He, F. and Gao, B."	2016	"Oxygen-content-controllable graphene oxide from electron-beam-irradiated graphite: Synthesis, characterization, and removal of aqueous lead [Pb(II)]"	ACS Applied Materials & Interfaces	8	38	25289-25296	Journal Article		10.1021/acsami.6b08059	ABE
"Bai, J. F., Zhang, C. P., Wahl, T. and Seale, J."	2016	"Dining out, the missing food consumption in China"	Applied Economics Letters	23	15	1084-1087	Journal Article		10.1080/13504851.2015.1136388	FRE
"Baidoo, R., Joseph, S., Mengistu, T. M., Brito, J. A., Mcsorley, R., Stamps, R. H. and Crow, W. T."	2016	Mitochondrial haplotype-based identification of root-knot nematodes (Meloidogyne spp.) on cut foliage crops in Florida.	Journal of Nematology	48	3	193-202.	Journal Article			Ent/Nem
"Baker, G."	2016	Food Safety Impacts from Post-Harvest Processing Procedures of Molluscan Shellfish	Foods	5	2	29	Journal Article		10.3390/foods5020029	Food Sci & Nutr
"Baldridge, E., Harris, D. J., Xiao, X. and White, E. P."	2016	An extensive comparison of species-abundance distribution models.	PeerJ	4		e2823	Journal Article		https://doi.org/10.7717/peerj.2823	
"Bampasidou, M., Grogan, K., Clark, J. and Sandberg, M."	2016	Career skills: perceptions of importance and high impact learning activities for skill development in agricultural economics and agribusiness programs	NACTA Journal	60	1a	36-42	Journal Article			FRE
"Banik, C., Harris, W. G., Ogram, A. V. and Nair, V. D."	2016	"Carbon, iron, and aluminum responses to controlled water table fluctuations in sandy soil material"	Journal of Soils and Sediments	16	10	2449-2457	Journal Article	yes	10.1007/s11368-016-1444-z	
"Baniszewski, J., Cuda, J. P., Gezan, S. A., Sharma, S. and Weeks, E. N. I."	2016	Stem fragment regrowth of Hydrilla verticillata following desiccation	Journal of Aquatic Plant Management	54		53-60	Journal Article			
"Bankovich, B., Boughton, E., Boughton, R., Avery, M. and Wisely, S."	2016	Plant community shifts caused by feral swine rooting devalue Florida rangeland	Agriculture Ecosystems & Environment	220		45-54	Journal Article		10.1016/j.agee.2015.12.027	
"Barak, J. D., Vancheva, T., Lefeuvre, P., Jones, J. B., Timilsina, S., Minsavage, G. V., Vallad, G. E. and Koebnik, R."	2016	Whole-Genome Sequences of Xanthomonas euvesicatoria Strains Clarify Taxonomy and Reveal a Stepwise Erosion of Type 3 Effectors	Frontiers in Plant Science	7		Article 1805	Journal Article			
"Barnett, R. V., Hirsch, J., Culen, G. R., Jordan, J. and Gibson, H."	2016	Adolescent Perceptions of Animation Violence as an Indication of Aggressive Attitudes and Behaviors	Journal of Youth Development	9	1	113-128	Journal Article			FYCS
"Barnett, R. V., Neely, J. C., Payne-Purvis, C. and Culen, G. R."	2016	"At-Risk Youth in After-School Programs: How Does Their Use of Media for Learning About Community Issues Relate to Their Perceptions of Community Connectedness, Community Involvement, and Community Support?"	Journal of Youth Development	9	1	157-169	Journal Article			FYCS
"Bartels, W., Athayde, S., Mello, R., Sobreiro, T., Almeida, J., Bernasconi, P., Olival, A., Simao, B.,  Albernaz-Silveira, R., Baby, A. L. T., Blau, I., Brasil, W., Castorino, A. B., Farias, R., Gislon, L.,  Grabert, M., Guerra, R., Rossete, A. N., Schuster, E. M., Schutz, D., Seluchinesk, R. D. R., Da Silva, S. A., Folhes, R. T., Buschbacher, R."	2016	Who Counts Resilience and Whose Resilience Counts? Reflections on Applying the Resilience Alliance Workbook along a Contested Amazonian Frontier	Sustentabilidade em Debate	7	2	135-151	Journal Article			
"Bartz, J. A., Huber, D., Stahl, S. L., Lee, J. H., Spiceland, D. and Elkahky, M. T."	2016	Susceptibility of lenticels within the stem depression of tomato fruit to bacterial soft rot	Plant Disease	100	9	1906-1909	Journal Article		http://dx.doi.org/10.1094/PDIS-02-16-0173-RE	
"Basset, G., Latimer, S., Fatihi, A., Soubeyrand, E. and Block, A."	2016	"Phylloquinone (Vitamin K1): Occurrence, Biosynthesis and Functions"	Mini reviews in medicinal chemistry	16		doi: 10.2174/1389557516666160623082714  	Journal Article			
"Bateman, C., Sigut, M., Skelton, J., Smith, K. E. and Hulcr, J."	2016	"Fungal Associates of the Xylosandrus compactus (Coleoptera: Curculionidae, Scolytinae) Are Spatially Segregated on the Insect Body"	Environmental Entomology	45	4	883-890	Journal Article		10.1093/ee/nvw070	
"Bean, E. Z. and Dukes, M. D."	2016	Evaluation of Infiltration Basin Performance on Coarse Soils	Journal of Hydrologic Engineering	21	1	doi: 10.1061/(asce)he.1943-5584.0001258	Journal Article		10.1061/(asce)he.1943-5584.0001258	ABE
"Beaudoin, G. A. and Hanson, A. D."	2016	A Guardian Angel Phosphatase for Mainline Carbon Metabolism	Trends in Biochemical Sciences	41	11	893-894	Journal Article			
"Beeson Jr., R. C."	2016	Evapotranspiration and above ground biomass of Acer Rubrum from liners to 8 m tall trees	American Journal of Plant Sciences	7	17	2440-2456	Journal Article			
"Belhaj, K., Cano, Liliana M., Prince, David C., Kemen, Ariane, Yoshida, Kentaro, Dagdas, Yasin F., Etherington, Graham J., Schoonbeek, Henk-Jan, Van Esse, H. Peter, Jones, Jonathan D. G., Kamoun, Sophien, Schornack, Sebastian"	2016	Arabidopsis late blight: infection of a nonhost plant by Albugo laibachii enables full colonization by Phytophthora infestans	Cellular Microbiology	19	1	doi: 10.1111/cmi.12628	Journal Article		10.1111/cmi.12628	Cmi-15-0358.r1
"Benny, G., Ho, H.-M., Lazarus, K. and Smith, M."	2016	"Five new species of the obligate mycoparasite Syncephalis (Zoopagales, Zoopagomycotina) from soil"	Mycologia	108	6	1114-1129	Journal Article		10.3852/15-073	
"Bentivenha, J. P., Paula-Moraes, S. V., Baldin, E. L., Specht, A., Da Silva, I. F. and Hunt, T. E."	2016	Battle in the New World: Helicoverpa armigera versus Helicoverpa zea (Lepidoptera: Noctuidae)	PloS one	11	12	e0167182	Journal Article		10.1371/journal.pone.0167182	West FL REC
"Bentley, M. T., Hahn, D. A. and Oi, F. M."	2016	"The Thermal Breadth of Nylanderia fulva (Hymenoptera: Formicidae) Is Narrower Than That of Solenopsis invicta at Three Thermal Ramping Rates: 1.0, 0.12, and 0.06 degrees C min(-1)"	Environmental Entomology	45	4	1058-1062	Journal Article		10.1093/ee/nvw050	Ent/Nem
"Berger, S., Madeira, P. T., Ferrell, J., Gettys, L., Morichetti, S., Cantero, J. J. and Nunez, C."	2016	Palmer Amaranth (Amaranthus palmeri) Identification and Documentation of ALS-Resistance in Argentina	Weed Science	64	2	312-320	Journal Article		10.1614/ws-d-15-00125.1	Agronomy
"Bergsten, S. J., Koeser, A. K. and Stewart, J. R."	2016	Evaluation of the Impacts of Salinity on Biomass and Nutrient Levels of Agave Species with Agricultural Potential in Semiarid Regions	Hortscience	51	1	30-35	Journal Article			
"Bergua, M., Kang, S.-H. and Folimonova, S. Y."	2016	Understanding superinfection exclusion by complex populations of Citrus tristeza virus	Virology	499		331-339	Journal Article			
"Bergua, M., Phelan, D. M., Bak, A., Bloom, D. C. and Folimonova, S. Y."	2016	Simultaneous visualization of two Citrus tristeza virus genotypes provides new insights into the structure of multi-component virus populations in a host	Virology	491		10-19	Journal Article			
"Berlinsky, D. L., Watson, M. T., Dimaggio, M. A. and Breton, T. S."	2016	"The Use of Tricaine Methanesulfonate, Clove Oil, Metomidate, and 2-Phenoxyethanol for Anesthesia Induction in Alewives"	North American Journal of Aquaculture	78	1	84-91	Journal Article		10.1080/15222055.2015.1105891	
"Beuzelin, J. M., Wilson, B. E., Vanweelden, M. T., Meszaros, A., Way, M. O., Stout, M. J. and Reagan, T. E."	2016	Biology and Management of the Mexican Rice Borer (Lepidoptera: Crambidae) in Rice in the United States	Journal of Integrated Pest Management	7	1	7	Journal Article		10.1093/jipm/pmw006	Everglades REC
"Beyer, H. L., Gurarie, E., Borger, L., Panzacchi, M., Basille, M., Herfindal, I., Van Moorter, B., Lele, S. and Matthiopoulos, J."	2016	“You shall not pass!”: quantifying barrier permeability and proximity avoidance by animals	Journal of Animal Ecology	85	1	43-53	Journal Article		10.1111/1365-2656.12275	Ft Lauderdale REC
"Bhadha, J. H., Alvarez, O., Lang, T. A., Giurcanu, M. C. and Daroub, S. H."	2016	Growth Efficacy of Sorghum and Rice Amended with Dried Versus Composted Aquatic Vegetation	Sustainable Agriculture Research	5	2	92-102	Journal Article			Everglades REC
"Bhadha, J. H. and Vanweelden, M. T."	2016	Arsenic Accumulation in Rice (Oryza sativa): An Overview	International Journal of Environmental & Agriculture Research	2	4	72-75	Journal Article			Everglades REC
"Bi, X., House, L. and Gao, Z."	2016	Impacts of nutrition information on choices of fresh seafood among parents	Marine Resource Economics	31	3	355-372	Journal Article			FRE
"Blake, J., Mosquera, D, Loiselle, B, Swing, K, Guerra, J, Romo, D"	2016	Spatial and temporal activity patterns of ocelots Leopardus pardalis in lowland forest of eastern Ecuador.	Journal of Mammalogy	97		455-463	Journal Article		DOI:10.1093/jmammal/gyv190	
"Blake, J. G. and Loiselle, B. A."	2016	Long-term changes in composition of bird communities at an “undisturbed” site in eastern Ecuador.	Wilson Journal of Ornithology	128	2	255-267	Journal Article			
"Blancato, V. S., Pagliai, F. A., Magni, C., Gonzalez, C. F. and Lorca, G. L."	2016	Functional Analysis of the Citrate Activator CitO from Enterococcus faecalis Implicates a Divalent Metal in Ligand Binding	Frontiers in microbiology	7		101	Journal Article		10.3389/fmicb.2016.00101	
"Bliss, C., Andersen, P., Brodbeck, B., Wright, D., Olson, S. and Marois, J."	2016	"The influence of bahiagrass, tillage, and cover crops on organic vegetable production and soil quality in the southern coastal plain"	Sustainable Agriculture Research	5	2	65-82	Journal Article		10.5539/sar.v5n2p65	
