IFAS_Unit	Authors	Year	Title	Journal Name	Vol	Issue	Pages	Doi
Citrus_REC	"Aitazaz Ahsan, F. Q. U., Zaman; Tri, Nguyen-Quang; Dominic, Groulx; Arnold Walter, Schumann; Young, K. Chang"	2016	Development of a Predictive Model for Wild Blueberry Harvester Fruit Losses during Harvesting Using Artificial Neural Network		32	6		10.13031/aea.32.10872
SW_REC	"Albrecht, U., Fiehn, O. and Bowman, K. D."	2016	Metabolic variations in different citrus rootstock cultivars associated with different responses to Huanglongbing	Plant Physiology and Biochemistry	107		33-44	10.1016/j.plaphy.2016.05.030
PlantPath	"Alcalá-Briseño, R. I. C., S.; Londoño, M. A.; Polston, J. E."	accepted 2016	Genome sequence of Southern tomato virus in asymptomatic tomato ‘Sweet Hearts’	Genome Announcements				
Citrus_REC	"Alfaress, S. H., F.; Killiny, N."	2016	Chemical composition of cornicle secretion of the brown citrus aphid Toxoptera citricida	Physiological Entomology	41	1	38-47	10.1111/phen.12123
MidFL_REC	"Ali, G. S. A., M.; Belfield, K.D.; Brennan, M.; Kim, B.; Norman, D."	2016	Green synthesis and characterization of silver nanoparticles using Artemisia absinthium aqueous extract - A comprehensive study	Material Science and Engineering C	58		359-365	
MidFL_REC	"Ali, G. S. B., M.; El-Sayed, A.; Goss, E.M.; Norman, D.J.; Palmateer, A.J.; Patel, J.S.; Vitoreli, A."	2016	Characterization of Phytophthora spp. isolated from ornamental plants in Florida	Plant Disease	100		500-509	
Trop_REC	"Ali, J. S. P. a. V. a. J. P. a. E.-S. D. J. N. E. M. G. M. S. B. G. S."	2015	Characterization of Phytophthora spp. Isolated from Ornamental Plants in Florida					10.1094/PDIS-05-15-0598-RE
MidFL_REC	"Ali, M. A., B. H.; Ahmad, N.; Ali, S. S.; Ali, S.; Ali, G. S."	2016	Sucrose-enhanced biosynthesis of medicinally important antioxidant secondary metabolites in cell suspension cultures of Artemisia absinthium L	Bioprocess Biosyst Eng	39	12	1945-1954	10.1007/s00449-016-1668-8
ABE	"Allard, J. V., P. C.; Mcelwaney, J. R.; Hoogenboom, G."	2016	A Comparison of Temperature Data from Automated and Manual Observing Networks in Georgia and Impacts of Siting Characteristics	Journal of Atmospheric and Oceanic Technology	33	7	1473-1494	10.1175/jtech-d-15-0161.1
MidFL_REC	"Allen, C. B., A.M.; Daughtrey, M.; Luis Mejia, L.; Norman, D.J.; Tran, T.M.; Weibel, J."	2016	"A Ralstonia solanacearum Strain from Guatemala Infects Diverse Flower Crops, Including New Asymptomatic Hosts Vinca and Sutera, and Causes Symptoms in Geranium, Mandevilla Vine, and New Host African Daisy (Osteospermum ecklonis)"	Plant Health Progress	17		114-121	
MidFL_REC	"Allen, E. B., T.; Bekker, M.; Buckley, B.; Derose, J.; Kjelgren, R."	2016	The dendrochronological potential of Utah juniper (Juniperus osteosperma (Torr.))	Tree-Ring Research	72	1	14-Jan	
EntNem	"Al-Massarani, S., Al-Enzi, F.,; Al-Tamimi, M., Al-Jomaiah, N., Al-Amri  , R., Husnu Can; Baser, K., Tabanca, N.,   Estep, A.S., Becnel, J.J., Bloomquist, J.R., and Demirci, B."	2016	Composition & biological activity of Cyperus rotundus L. tuber volatiles from Saudi Arabia.	Nat. Volatiles & Essent. Oils	3	-2	26-34	
ABE	"Alonso, A. M.-C., Rafael; Kennedy, Robert E; Murcia, Carolina"	2016	Wetland landscape spatio-temporal degradation dynamics using the new Google Earth Engine cloud-based platform: Opportunities for non-specialists in remote sensing	Trans. ASABE	59	5	1333-1344	
FLMedEnt	"Alto, B. W. and Lord, C. C."	2016	Transstadial Effects of Bti on Traits of Aedes aegypti and Infection with Dengue Virus	Plos Neglected Tropical Diseases	10	2	18	10.1371/journal.pntd.0004370
Agron	"Altpeter, F. S., N. M.; Bartley, L. E.; Blechl, A. E.; Brutnell, T. P.; Citovsky, V.; Conrad, L. J.; Gelvin, S. B.; Jackson, D. P.; Kausch, A. P.; Lemaux, P. G.; Medford, J. I.; Orozco-Cardenas, M. L.; Tricoli, D. M.; Van Eck, J.; Voytas, D. F.; Walbot, V.; Wang, K.; Zhang, Z. Y. J.; Stewart, C. N."	2016	Advancing Crop Transformation in the Era of Genome Editing	Plant Cell	28	7	1510-1520	10.1105/tpc.16.00196
MicroCell	"Alugubelly, N., Hercik, K., Kibler, P., Nanduri, B. and Edelmann, M. J."	2016	Analysis of differentially expressed proteins in Yersinia enterocolitica-infected HeLa cells	Biochimica Et Biophysica Acta-Proteins and Proteomics	1864	5	562-569	10.1016/j.bbapap.2016.02.004
FtLauder_REC	"Alvani, S. M.-M., E; Giblin-Davis, Rm; Pedram, M"	2016	Description of Ektaphelenchus berbericus n. sp (Rhabditida: Ektaphelenchinae) from eastern Iran	Nematology	18		1063-1077	10.1163/15685411-00003015
PlantPath	"Alvarado, P. C., Julio; Moreno, Gabriel; Bratek, Zoltán; Van Vooren, Nicolas; Kaounas, Vasileios; Konstantinidis, Giorgos; Agnello, Carlo; Merényi, Zsolt; Smith, Matthew E"	2016	"Phylogenetic overview of the genus Genea (Pezizales, Ascomycota) with an emphasis on European taxa"	Mycologia	108	2	441-456	10.3852/15-199
FoodSci	"Alyousif, Z. F., Al; Dahl, Wj"	2016	Calcium supplementation does not contribute to constipation in healthy women.	Canadian Journal of Dietetic Practice and Research	77	2	103-5	
HortSci	"Amadeu, R. R. C., Catherine; Olmstead, James W; Garcia, Antonio Af; Resende, Marcio Fr; Muñoz, Patricio R"	2016	AGHmatrix: R Package to Construct Relationship Matrices for Autotetraploid and Diploid Species: A Blueberry Example	"The Plant Genome, "				
Agron	"Amadeu, R. R. C., Catherine; Olmstead, James W.; Garcia, Antonio A. F.; Resende, Marcio F. R.; Munoz, Patricio R."	2016	AGHmatrix: R Package to Construct Relationship Matrices for Autotetraploid and Diploid Species: A Blueberry Example	The plant genome	9	3		10.3835/plantgenome2016.01.0009
Everglades_REC	"Amata, R. L. F., E.; Filloux, D.; Martin, D.P.; Rott, P.; Roumagnac, P."	2016	Prevalence of Sugarcane yellow leaf virus in sugarcane producing regions in Kenya revealed by reverse transcription loop-mediated isothermal amplification method	Plant Disease	100	2	260-268	
HortSci	"Amaya, I. P., Jeremy; Folta, Kevin M."	2016	Identification of Genes Responsible for Natural Variation in Volatile Content Using Next-Generation Sequencing Technology	"Plant Signal Transduction: Methods and Protocols, "		37-45		
HortSci	"Ames, Z. R. O., Mercy A"	2016	"Estimation of Leaf Area for Blanc Du Bois Vitis spp., Carlos Vitis rotundifolia, and Southern Home Vitis rotundifolia x Vitis vinifera Using Simple Linear Measurement"	"Journal of Horticulture, "		4-Jan		
HortSci	"Ames, Z. R. O., Mercy; Sims, Charlie; Darnell, Rebecca"	2016	"Effect of Shoot and Cluster Thinning on Vine Performance, Fruit and Wine Quality of ?Blanc Du Bois?"	Journal of the American Pomological Society	70	1	15-Feb	
Gulf_REC	"Amiri, A. P. O., R.B.G.; Peres, N.A."	2016	First report of gray mold caused by Botryotinia ricini (Amphobotrys ricini) on strawberry in the United States	"Plant Disease, "	100	1007		
Citrus_REC	"Ammar, E. D. R., J. E.; Hall, D. G.; Dawson, W. O.; Shatters, R. G."	2016	"Acquisition, Replication and Inoculation of Candidatus Liberibacter asiaticus following Various Acquisition Periods on Huanglongbing-Infected Citrus by Nymphs and Adults of the Asian Citrus Psyllid"	Plos One	11	7	18	10.1371/journal.pone.0159594
AniSci	"Amundson, L. a. H., Laura L; Laporta, Jimena; Crenshaw, Thomas D"	2016	"Maternal dietary vitamin D carry-over alters offspring growth, skeletal mineralisation and tissue mRNA expressions of genes related to vitamin D, calcium and phosphorus homoeostasis in swine"	British Journal of Nutrition	116	5	774-787	
MicroCell	"An, C. F., Ding, Y. Z., Zhang, X. D., Wang, C. G. and Mou, Z. L."	2016	Elongator Plays a Positive Role in Exogenous NAD-Induced Defense Responses in Arabidopsis	Molecular Plant-Microbe Interactions	29	5	396-404	10.1094/mpmi-01-16-0005-r
EntNem	"Andersen, P. C., Brodbeck, B.V., Bliss, C.M., and Mcsorley, R."	2016	Influence of crop rotation and years in bahiagrass on plant-parasitic nematode density in an organic vegetable production system.	Nematropica	46		60-70	
NOFL_REC	"Andersen, P. C., Brodbeck, B. V., Bliss, C. M. and Mcsorley, R."	2016	INFLUENCE OF CROP ROTATION AND YEARS IN BAHIAGRASS ON PLANT-PARASITIC NEMATODE DENSITY IN AN ORGANIC VEGETABLE PRODUCTION SYSTEM	Nematropica	46	1	60-70	
WILDECO	"Anderson, C. J., Hostetler, M.E., Sieving, K.E., and; Johnson, S.A."	2016	"Predation of artificial nests by introduced rhesus macaques (Macaca mulatta) in Florida, USA."	Biological Invasions	18		2783-2789	
ABE	"Antle, J. M. B., Bruno; Conant, Richard T; Godfray, H Charles J; Jones, James W; Herrero, Mario; Howitt, Richard E; Keating, Brian a; Munoz-Carpena, Rafael; Rosenzweig, Cynthia"	2016	"Towards a new generation of agricultural system data, models and knowledge products: Design and improvement"	"Agricultural Systems, "				
NOFL_REC	"Apolinario, V. X. D., Dubeux, J. C. B., Lira, M. D., Sampaio, E., De Amorim, S. O., Silva, N. and Muir, J. P."	2016	Arboreal Legume Litter Nutrient Contribution to a Tropical Silvopasture	Agronomy Journal	108	6	2478-2484	10.2134/agronj2016.02.0120
NOFL_REC	"Apolinrio, V. X. O., Dubeux, J. C. B., Lira, M. A., Ferreira, R. L. C., Mello, A. C. L., Coelho, D. L., Muir, J. P. and Sampaio, E."	2016	Decomposition of Arboreal Legume Fractions in a Silvopastoral System	Crop Science	56	3	1356-1363	10.2135/cropsci2015.09.0588
Trop_REC	"Araújo, M. C. R. C., E.A.; Garcia, M.I.R.; Pinto, S.T.S.; Chagas, P.C.; Vendrame, W.A.; Filho, A.B.M.; Souza, O.M."	2016	"Micropropagation of cacari under different nutritive culture media, antioxidants, and levels of agar and pH."	African Journal of Biotechnology	15	33	1771-1780	
MidFL_REC	"Archer, M. C., A.; Marble, S.C."	2016	"Effect of indaziflam formulation, timing, and rate on early postemergence control of Oxalis stricta L"	WeedTech	30		701-707	
Everglades_REC	"Aristizábal, L. C., Y; Cherry, Rh; Cave, Rd; Arthurs, Sp"	2016	"Efficacy of biorational insecticides against chilli thrips, Scirtothrips dorsalis (Thysanoptera: Thripidae), infesting roses under nursery conditions"	Journal of Applied Entomology			10.1111/jen.12340	
Everglades_REC	"Aristizábal, L. F. M., Gabriel Moura; Cherry, Ron; Chaves-Cordoba, Bernardo; Arthurs, Steven P"	2016	A Rapid Sampling Plan for Scirtothrips dorsalis (Thysanoptera: Thripidae) on Container Shrub Rose (Rosa ‘Radrazz’)	Journal of Economic Entomology		tow231	http://dx.doi.org/10.1093/jee/tow231	
Citrus_REC	"Arp, A. P. H., Wayne B.; Pelz-Stelinski, Kirsten S."	2016	Annotation of the Asian Citrus Psyllid Genome Reveals a Reduced Innate Immune System	Frontiers in Physiology	7		570	
MidFL_REC	"Arthurs, S. P. C., G.; Chen, J."	2016	Host specificity evaluation of Gynaikothrips uzeli (Thysanoptera: Phlaeothripidae) on ornamental Ficus (Rosales: Moraceae)	Florida Entomologist	99		481-486	
AniSci	"Artiaga, B. L. Y., G.; Hackmann, T. J.; Liu, Q. F.; Richt, J. A.; Salek-Ardakani, S.; Castleman, W. L.; Lednicky, J. A.; Driver, J. P."	2016	alpha-Galactosylceramide protects swine against influenza infection when administered as a vaccine adjuvant	Scientific Reports	6		13	10.1038/srep23593
AniSci	"Artiaga, B. L. Y., G.; Hutchinson, T. E.; Loeb, J. C.; Richt, J. A.; Lednicky, J. A.; Salek-Ardakani, S.; Driver, J. P."	2016	Rapid control of pandemic H1N1 influenza by targeting NKT-cells	Sci Rep	6		37999	10.1038/srep37999
EntNem	"Aryal, S. A., Crow,; W.T., Mcsorley, R., Giblin-Davis, R.M., Rowland, D.L., Poudel, B., and Kenworthy, K.E."	2015	Effects of Belonolaimus longicaudatus on rooting dynamics among St. Augustinegrass and bermudagrass genotypes.	Journal of Nematology	47		322-331.	
EntNem	"Aryal, S. A., Crow,; W.T., Mcsorley, R., Giblin-Davis, R.M., and Kenworthy, K.E."	2016	Integrated pest management of nematodes on bermudagrass turf.	"Crop, Forage and Turfgrass Management"	2			10.2134/cftm2015.0144.
FtLauder_REC	"Aryal, S. C., Wt; Mcsorley, R; Giblin-Davis, Rm; Rowland, Dl; Poudel, B; Kenworthy, Ke"	2015	Effects of Infection by Belonolaimus longicaudatus on Rooting Dynamics among St. Augustinegrass and Bermudagrass Genotypes	Journal of Nematology	47	4	322-331	
Agron	"Aryal, S. K. C., W. T.; Mcsorley, R.; Giblin-Davis, R. M.; Rowland, D. L.; Poudel, B.; Kenworthy, K. E."	2015	Effects of Infection by Belonolaimus longicaudatus on Rooting Dynamics among St. Augustinegrass and Bermudagrass Genotypes	Journal of Nematology	47	4	322-331	
FtLauder_REC	"Aryal, S. K. C., W.T.; Mcsorley, R.; Giblin-Davis, R.M.; Kenworthy, K.E."	2016	Integrated pest management of nematodes on bermudagrass turf	"Crop, Forage and Turfgrass Management"	2		9-Jan	10.2134/cftm2015.0144
Agron	"Aryal, S. K. C., William T; Mcsorley, Robert; Giblin-Davis, Robin M; Kenworthy, Kevin E"	2016	Integrated Pest Management of Nematodes on Bermudagrass Turf	"Crop, Forage & Turfgrass Management"	2	1		10.2134/cftm2015.0144
MidFL_REC	"Asanakunov, B. B., D.; Dhekney, S.A.; Gray, D.J.; Kandel, R.; Li, Z.T.; Sitther, V."	2016	Development of novel plant phenotypes using plant pigment-associated genes	Acta Hort.	1140		169-174	
SFRC	"Asche, F. M., B.; Oglend, A."	2016	Determinants of the Atlantic Salmon Future Risk Premium	Journal of Commodity Markets	2	1	17-Jun	
SFRC	"Asche, F. M., B.; Oglend, A."	2016	The spot-forward relationship in the Atlantic salmon market	Aquaculture Economics & Management	20	2	222-234	10.1080/13657305.2016.1156192
SFRC	"Asche, F. O., A."	2016	The Relationship between Input-factor and Output Prices in Commodity Industries: The Case of Norwegian Salmon Aquaculture	Journal of Commodity Markets	1		35-47	
FRED	"Asci, S., Seale, J. L., Onel, G. and Vansickle, J. J."	2016	US and Mexican Tomatoes: Perceptions and Implications of the Renegotiated Suspension Agreement	Journal of Agricultural and Resource Economics	41	1	138-160	
MicroCell	"Ascunce, M. S., Huguet-Tapia, J. C., Braun, E. L., Ortiz-Urquiza, A., Keyhani, N. O. and Goss, E. M."	2016	Whole genome sequence of the emerging oomycete pathogen Pythium insidiosum strain CDC-B5653 isolated from an infected human in the USA	Genomics Data	7		60-61	10.1016/j.gdata.2015.11.019
Citrus_REC	"Asif, A. Q., Zaman; Aitazaz Ahsan, Farooque; Arnold Walter, Schumann; Gordon, Brewster; Richard, Donald"	2016	Effect of Split Variable Rate Fertilization on Wild Blueberry Plant Growth and Berry Yield		32	6		10.13031/aea.32.11339
Citrus_REC	"Asif, A. Q., Zaman; Arnold Walter, Schumann; Aitazaz, A. Farooque; Gordon, Brewster; Richard, Donald"	2016	Effect of Split Fertilization on Subsurface Water Quality in Wild Blueberry Fields		32	1		10.13031/aea.32.11248
AniSci	"Aspinall, W. P. C., R. M.; Havelaar, A. H.; Hoffmann, S.; Hald, T."	2016	Evaluation of a Performance-Based Expert Elicitation: WHO Global Attribution of Foodborne Diseases	PLoS One	11	3	e0149817	10.1371/journal.pone.0149817
Agron	"Asseng, S. E., Frank; Martre, Pierre; Rosenzweig, Cynthia; Jones, Jim; Hatfield, Jerry; Ruane, Alex; Boote, Ken; Thorburn, Peter; Rötter, Reimund"	2016	Benchmark data set for wheat growth models: field experiments and AgMIP multi-model simulations	Open Data Journal for Agricultural Research	1	1		http://dx.doi.org/10.18174/odjar.v1i1.14746
ABE	"Asseng, S. M., P. C.; Thomas, Geoff; Ebert, Elizabeth E.; Khimashia, Nirav"	2016	Is a 10-day rainfall forecast of value in dry-land wheat cropping?	Agricultural and Forest Meteorology	216		170-176	10.1016/j.agrformet.2015.10.012
PlantPath	"Atallah, O. O. K., Sung-Hwan; El-Mohtar, Choaa a; Shilts, Turksen; Bergua, María; Folimonova, Svetlana Y"	2016	A 5?-proximal region of the Citrus tristeza virus genome encoding two leader proteases is involved in virus superinfection exclusion	Virology	489		108-115	
SFRC	"Athayde, S. B., P.; Bartels, W.; Seluchinesk, R.; Buschbacher,   R."	2016	Socio-ecological Resilience Assessment as a Tool for Management of the Amazonian Frontier: Experiences and Reflections	Sustentabilidade em Debate	7	2		
MicroCell	"Auffray, C., Balling, R., Barroso, I., Bencze, L., Benson, M., Bergeron, J., Bernal-Delgado, E., Blomberg, N., Bock, C., Conesa, A., Del Signore, S., Delogne, C., Devilee, P., Di Meglio, A., Eijkemans, M., Flicek, P., Graf, N., Grimm, V., Guchelaar, H. J., Guo, Y. K., Gut, I. G., Hanbury, A., Hanif, S., Hilgers, R. D., Honrado, A., Hose, D. R., Houwing-Duistermaat, J., Hubbard, T., Janacek, S. H., Karanikas, H., Kievits, T., Kohler, M., Kremer, A., Lanfear, J., Lengauer, T., Maes, E., Meert, T., Muller, W., Nickel, D., Oledzki, P., Pedersen, B., Petkovic, M., Pliakos, K., Rattray, M., Mas, J. R. I., Schneider, R., Sengstag, T., Serra-Picamal, X., Spek, W., Vaas, L. a. I., Van Batenburg, O., Vandelaer, M., Varnai, P., Villoslada, P., Vizcaino, J. A., Wubbe, J. P. M. and Zanetti, G."	2016	"Making sense of big data in health research: towards an EU action plan (vol 8, pg 71, 2016)"	Genome Medicine	8		2	10.1186/s13073-016-0376-y
FoodSci	"Aydemir, T. T., C; Kim, J; Kim, Mh; Teran, Oy; Leeuwenburgh, C; Cousins, Rj"	2016	Aging amplifies multiple phenotypic defects in mice with zinc transporter Zip14 (Slc39a14) deletion	Exp Gerontol	85		88-94	10.1016/j.exger.2016.09.013
FoodSci	"Aydemir, T. T., C; Kim, Mh; Cousins, Rj"	2016	Hepatic ZIP14-mediated Zinc Transport Contributes to Endosomal Insulin Receptor Trafficking and Glucose Metabolism	J Biol Chem	291	46	23939-23951	10.1074/jbc.M116.748632
WILDECO	"Azpiroz, A., And Blake, John"	2016	Associations of grassland birds with vegetation structure in the Northern Campos of Uruguay.	The Condor - Ornithological Applications	118		23-Dec	DOI: 10.1650/CONDOR-15-49.1
SoilWater	"Babar, M., Blount, A., Barnett, R., Mackowiak, C., Akond, M., Harrison, S., Johnson, J., Mergoum, M., Mason, E. and Murphy, P."	2017	Registration of ‘FL720’Oat	Journal of Plant Registrations	11	1	15-19	10.3198/jpr2016.04.0025crc
NOFL_REC	"Babar, M., Blount, A., Barnett, R., Mackowiak, C., Akond, M., Harrison, S., Johnson, J., Mergoum, M., Mason, E. and Murphy, P."	2017	Registration of ‘FL720’Oat	Journal of Plant Registrations	11	1	15-19	10.3198/jpr2016.04.0025crc
Agron	"Babar, M. B., Ar; Barnett, Rr; Mackowiak, C; Akond, M; Harrison, Sa; Johnson, Jw; Mergoum, M; Mason, E; Murphy, P"	2017	Registration of ‘FL720’Oat	Journal of Plant Registrations	11	1	15-19	10.3198/jpr2016.04.0025crc
NOFL_REC	"Babu, B., Jeyaprakash, A., Jones, D., Schubert, T. S., Baker, C., Washburn, B. K., Miller, S. H., Poduch, K., Knox, G. W., Ochoa-Corona, F. M. and Paret, M. L."	2016	"Development of a rapid, sensitive TaqMan real-time RT-PCR assay for the detection of Rose rosette virus using multiple gene targets"	Journal of Virological Methods	235		41-50	10.1016/j.jviromet.2016.05.010
NOFL_REC	"Babu, B., Washburn, B. K., Poduch, K., Knox, G. W. and Paret, M. L."	2016	Identification and characterization of two novel genomic RNA segments RNA5 and RNA6 in rose rosette virus infecting roses	Acta Virologica	60	2	156-165	10.4149/av_2016_02_156
NOFL_REC	"Badillo-Vargas, I. E., Baker, C. A., Turechek, W. W., Frantz, G., Mellinger, H. C., Funderburk, J. E. and Adkins, S."	2016	"Genomic and Biological Characterization of Tomato necrotic streak virus, a Novel Subgroup 2 Ilarvirus Infecting Tomato in Florida"	Plant Disease	100	6	1046-1053	10.1094/pdis-12-15-1437-re
SFRC	"Badylak, S. P., E; Dix, N; Hart, J; Srifa, a; Haunert, D; He, Zl; Lockwood, J; Stofella, P; Sun, Dt; Yang, Yg"	2016	Phytoplankton dynamics in a subtropical tidal creek: influences of rainfall and water residence time on composition and biomass	Marine and Freshwater Research	67	4	466-482	10.1071/MF14325
SoilWater	"Badylak, S. P., E.; Dix, N.; Hart, J.; Srifa, A.; Haunert, D.; He, Z. L.; Lockwood, J.; Stofella, P.; Sun, D. T.; Yang, Y. G."	2016	Phytoplankton dynamics in a subtropical tidal creek: influences of rainfall and water residence time on composition and biomass	Marine and Freshwater Research	67	4	466-482	10.1071/mf14325
HortSci	"Bai, F. D., M; Bagadion, a; Xu, My; Li, Yb; Baier, J; Tseung, Cw; Evans, Mms; Settles, Am"	2016	Parent-of-Origin-Effect rough endosperm Mutants in Maize	Genetics	204	1	221-+	10.1534/genetics.116.191775
FRED	"Bai, J. F., Zhang, C. P., Wahl, T. and Seale, J."	2016	"Dining out, the missing food consumption in China"	Applied Economics Letters	23	15	1084-1087	10.1080/13504851.2015.1136388
